No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-02-01 14:43:34	215.7000           	23.7800            	3.0540             	5.1293             	4.1226             	0.5950             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 14:43:35	215.8000           	35.7000            	4.5350             	7.7041             	6.2315             	0.5880             	60.0300            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 14:43:36	215.8000           	24.5200            	3.1430             	5.2914             	4.2607             	0.5930             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 14:43:37	215.8000           	23.9000            	3.0610             	5.1576             	4.1529             	0.5930             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 14:43:38	215.7000           	24.4600            	3.1080             	5.2760             	4.2676             	0.5880             	60.0300            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 14:43:39	215.7000           	26.4900            	3.3400             	5.7139             	4.6383             	0.5840             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 14:43:40	216.0000           	23.1400            	2.9780             	4.9982             	4.0172             	0.5950             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 14:43:41	216.1000           	24.1300            	3.0910             	5.2145             	4.2026             	0.5920             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 14:43:43	216.2000           	23.2300            	3.0050             	5.0223             	4.0254             	0.5980             	60.0300            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 14:43:44	216.1000           	23.1500            	3.0010             	5.0027             	4.0059             	0.5990             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 14:43:45	216.0000           	24.0100            	3.0920             	5.1862             	4.1644             	0.5960             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 14:43:46	216.1000           	24.7300            	3.1590             	5.3442             	4.3149             	0.5900             	60.0200            	0.0000             	0.0000             	0.0000             
