No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-02-01 14:53:29	215.5000           	23.5600            	3.0550             	5.0772             	4.0579             	0.6010             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 14:53:30	215.6000           	38.5600            	4.8900             	8.3135             	6.7245             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 14:53:31	215.6000           	24.2500            	3.1440             	5.2283             	4.1787             	0.6010             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 14:53:32	215.4000           	24.4700            	3.1540             	5.2708             	4.2246             	0.5980             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 14:53:33	215.6000           	24.2400            	3.1290             	5.2261             	4.1887             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 14:53:34	215.6000           	24.4300            	3.1470             	5.2671             	4.2255             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 14:53:35	215.7000           	28.6400            	3.6490             	6.1776             	4.9879             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 14:53:37	215.7000           	24.3200            	3.1350             	5.2458             	4.2084             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 14:53:38	215.8000           	23.5300            	3.0550             	5.0778             	4.0584             	0.6010             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 14:53:39	215.7000           	24.4900            	3.1650             	5.2825             	4.2339             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 14:53:40	215.7000           	23.6100            	3.0570             	5.0927             	4.0780             	0.5990             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 14:53:41	215.5000           	45.0600            	5.5210             	9.7104             	7.9920             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-02-01 14:53:42	215.7000           	43.9400            	5.4080             	9.4779             	7.7874             	0.5700             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-02-01 14:53:43	215.6000           	48.7300            	5.9010             	10.5062            	8.6972             	0.5610             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-02-01 14:53:44	215.8000           	47.4000            	5.7870             	10.2289            	8.4398             	0.5650             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-02-01 14:53:45	215.9000           	47.4400            	5.7710             	10.2423            	8.4648             	0.5630             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-02-01 14:53:47	215.9000           	48.5400            	5.8690             	10.4798            	8.6824             	0.5600             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-02-01 14:53:48	215.9000           	48.5500            	5.8410             	10.4819            	8.7054             	0.5570             	59.9800            	0.0000             	0.0000             	0.0000             
19                 	2021-02-01 14:53:49	215.9000           	48.6000            	5.8510             	10.4927            	8.7144             	0.5570             	60.0000            	0.0000             	0.0000             	0.0000             
20                 	2021-02-01 14:53:50	215.5000           	48.5000            	5.8390             	10.4518            	8.6733             	0.5580             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2021-02-01 14:53:51	215.6000           	48.4800            	5.8530             	10.4523            	8.6667             	0.5590             	59.9900            	0.0000             	0.0000             	0.0000             
22                 	2021-02-01 14:53:52	215.6000           	48.3800            	5.8400             	10.4307            	8.6488             	0.5590             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-02-01 14:53:53	215.5000           	48.3800            	5.8390             	10.4259            	8.6378             	0.5600             	59.9800            	0.0000             	0.0000             	0.0000             
24                 	2021-02-01 14:53:54	215.6000           	48.3100            	5.8350             	10.4156            	8.6293             	0.5600             	59.9800            	0.0000             	0.0000             	0.0000             
25                 	2021-02-01 14:53:55	215.4000           	47.8400            	5.7760             	10.3047            	8.5374             	0.5600             	59.9800            	0.0000             	0.0000             	0.0000             
26                 	2021-02-01 14:53:56	215.4000           	47.7500            	5.8060             	10.2854            	8.4934             	0.5640             	59.9800            	0.0000             	0.0000             	0.0000             
27                 	2021-02-01 14:53:58	215.5000           	48.5500            	5.8510             	10.4625            	8.6752             	0.5590             	59.9700            	0.0000             	0.0000             	0.0000             
28                 	2021-02-01 14:53:59	215.4000           	48.7700            	5.9140             	10.5051            	8.6891             	0.5620             	59.9800            	0.0000             	0.0000             	0.0000             
29                 	2021-02-01 14:54:00	215.6000           	48.0500            	5.8400             	10.3596            	8.5617             	0.5630             	59.9800            	0.0000             	0.0000             	0.0000             
30                 	2021-02-01 14:54:01	215.5000           	48.2100            	5.8440             	10.3893            	8.5933             	0.5620             	59.9800            	0.0000             	0.0000             	0.0000             
31                 	2021-02-01 14:54:02	215.5000           	48.3900            	5.8470             	10.4280            	8.6396             	0.5600             	59.9800            	0.0000             	0.0000             	0.0000             
32                 	2021-02-01 14:54:03	215.6000           	47.3700            	5.7640             	10.2130            	8.4336             	0.5640             	59.9800            	0.0000             	0.0000             	0.0000             
33                 	2021-02-01 14:54:04	215.5000           	48.3100            	5.8480             	10.4108            	8.6182             	0.5610             	59.9800            	0.0000             	0.0000             	0.0000             
34                 	2021-02-01 14:54:05	215.6000           	47.4900            	5.8030             	10.2388            	8.4410             	0.5660             	59.9800            	0.0000             	0.0000             	0.0000             
35                 	2021-02-01 14:54:06	215.7000           	48.7800            	5.9240             	10.5218            	8.7030             	0.5620             	59.9800            	0.0000             	0.0000             	0.0000             
36                 	2021-02-01 14:54:07	215.8000           	48.2200            	5.8430             	10.4059            	8.6141             	0.5610             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-02-01 14:54:08	215.8000           	47.9900            	5.8430             	10.3562            	8.5519             	0.5640             	59.9800            	0.0000             	0.0000             	0.0000             
38                 	2021-02-01 14:54:10	215.8000           	47.8300            	5.8490             	10.3217            	8.5093             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
39                 	2021-02-01 14:54:11	216.0000           	34.9000            	4.4720             	7.5384             	6.0699             	0.5930             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-02-01 14:54:12	216.0000           	24.7100            	3.1690             	5.3374             	4.2977             	0.5930             	59.9800            	0.0000             	0.0000             	0.0000             
41                 	2021-02-01 14:54:13	215.8000           	24.3900            	3.1470             	5.2634             	4.2225             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
42                 	2021-02-01 14:54:14	215.9000           	27.8400            	3.5580             	6.0107             	4.8486             	0.5910             	59.9900            	0.0000             	0.0000             	0.0000             
43                 	2021-02-01 14:54:15	215.9000           	27.4400            	3.5150             	5.9243             	4.7703             	0.5930             	60.0000            	0.0000             	0.0000             	0.0000             
44                 	2021-02-01 14:54:16	215.9000           	23.6000            	3.0540             	5.0952             	4.0800             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
45                 	2021-02-01 14:54:17	215.9000           	23.6300            	3.0570             	5.1017             	4.0852             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
46                 	2021-02-01 14:54:18	215.7000           	24.4900            	3.1600             	5.2825             	4.2339             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
47                 	2021-02-01 14:54:20	215.7000           	23.7100            	3.0680             	5.1142             	4.0952             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
48                 	2021-02-01 14:54:21	215.8000           	23.6500            	3.0570             	5.1037             	4.0906             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
49                 	2021-02-01 14:54:22	215.6000           	46.1000            	5.6300             	9.9392             	8.1939             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
50                 	2021-02-01 14:54:23	215.7000           	43.5700            	5.3860             	9.3980             	7.7022             	0.5730             	59.9900            	0.0000             	0.0000             	0.0000             
51                 	2021-02-01 14:54:24	215.6000           	47.6700            	5.8260             	10.2777            	8.4730             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
52                 	2021-02-01 14:54:25	215.4000           	47.7400            	5.8270             	10.2832            	8.4775             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
53                 	2021-02-01 14:54:26	215.3000           	49.2400            	5.9620             	10.6014            	8.7688             	0.5620             	59.9900            	0.0000             	0.0000             	0.0000             
54                 	2021-02-01 14:54:27	215.6000           	48.1800            	5.8600             	10.3876            	8.5849             	0.5630             	59.9900            	0.0000             	0.0000             	0.0000             
55                 	2021-02-01 14:54:29	215.7000           	48.1100            	5.8550             	10.3773            	8.5693             	0.5640             	59.9900            	0.0000             	0.0000             	0.0000             
56                 	2021-02-01 14:54:30	215.6000           	48.0000            	5.8570             	10.3488            	8.5387             	0.5650             	59.9900            	0.0000             	0.0000             	0.0000             
57                 	2021-02-01 14:54:31	215.8000           	47.7800            	5.8500             	10.3109            	8.4933             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
58                 	2021-02-01 14:54:32	215.6000           	47.7800            	5.8500             	10.3014            	8.4854             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
59                 	2021-02-01 14:54:33	215.7000           	47.7200            	5.8430             	10.2932            	8.4787             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
60                 	2021-02-01 14:54:34	215.8000           	47.2000            	5.7890             	10.1858            	8.3832             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
61                 	2021-02-01 14:54:36	215.6000           	46.8800            	5.7540             	10.1073            	8.3116             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
62                 	2021-02-01 14:54:37	215.7000           	47.6400            	5.8470             	10.2759            	8.4574             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
63                 	2021-02-01 14:54:38	215.6000           	47.7900            	5.8550             	10.3035            	8.4872             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
64                 	2021-02-01 14:54:39	215.5000           	48.5100            	5.8940             	10.4539            	8.6397             	0.5630             	60.0000            	0.0000             	0.0000             	0.0000             
65                 	2021-02-01 14:54:40	215.4000           	46.9600            	5.7550             	10.1152            	8.3251             	0.5680             	59.9900            	0.0000             	0.0000             	0.0000             
66                 	2021-02-01 14:54:41	214.4000           	48.1100            	5.8550             	10.3148            	8.4965             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
67                 	2021-02-01 14:54:42	214.3000           	48.1900            	5.8770             	10.3271            	8.4924             	0.5690             	59.9900            	0.0000             	0.0000             	0.0000             
68                 	2021-02-01 14:54:43	214.4000           	48.3600            	5.8590             	10.3684            	8.5620             	0.5640             	60.0000            	0.0000             	0.0000             	0.0000             
69                 	2021-02-01 14:54:45	214.6000           	48.1700            	5.8520             	10.3373            	8.5221             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
70                 	2021-02-01 14:54:46	214.6000           	48.5500            	5.8570             	10.4188            	8.6178             	0.5620             	60.0000            	0.0000             	0.0000             	0.0000             
71                 	2021-02-01 14:54:47	214.5000           	48.5500            	5.8700             	10.4140            	8.6067             	0.5630             	60.0000            	0.0000             	0.0000             	0.0000             
72                 	2021-02-01 14:54:48	214.7000           	49.4300            	5.9680             	10.6126            	8.7781             	0.5620             	60.0000            	0.0000             	0.0000             	0.0000             
73                 	2021-02-01 14:54:49	214.5000           	48.4500            	5.8620             	10.3925            	8.5890             	0.5630             	60.0000            	0.0000             	0.0000             	0.0000             
74                 	2021-02-01 14:54:50	214.6000           	48.9900            	5.8750             	10.5133            	8.7243             	0.5580             	60.0100            	0.0000             	0.0000             	0.0000             
75                 	2021-02-01 14:54:51	214.6000           	38.0800            	4.7500             	8.1720             	6.6512             	0.5810             	60.0200            	0.0000             	0.0000             	0.0000             
76                 	2021-02-01 14:54:52	214.4000           	27.9000            	3.5260             	5.9818             	4.8341             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
77                 	2021-02-01 14:54:54	214.4000           	23.9900            	3.0730             	5.1435             	4.1263             	0.5970             	60.0300            	0.0000             	0.0000             	0.0000             
78                 	2021-02-01 14:54:55	214.7000           	28.4500            	3.6040             	6.1082             	4.9363             	0.5890             	60.0300            	0.0000             	0.0000             	0.0000             
79                 	2021-02-01 14:54:56	214.7000           	28.9000            	3.6640             	6.2048             	5.0098             	0.5900             	60.0300            	0.0000             	0.0000             	0.0000             
80                 	2021-02-01 14:54:57	214.8000           	24.5800            	3.1580             	5.2798             	4.2317             	0.5980             	60.0200            	0.0000             	0.0000             	0.0000             
81                 	2021-02-01 14:54:58	214.6000           	24.6500            	3.1650             	5.2899             	4.2438             	0.5970             	60.0200            	0.0000             	0.0000             	0.0000             
82                 	2021-02-01 14:54:59	214.7000           	23.7000            	3.0610             	5.0884             	4.0669             	0.6010             	60.0300            	0.0000             	0.0000             	0.0000             
83                 	2021-02-01 14:55:00	214.8000           	24.6900            	3.1790             	5.3034             	4.2467             	0.5990             	60.0300            	0.0000             	0.0000             	0.0000             
84                 	2021-02-01 14:55:02	214.8000           	24.6900            	3.1760             	5.3034             	4.2507             	0.5980             	60.0300            	0.0000             	0.0000             	0.0000             
85                 	2021-02-01 14:55:03	214.8000           	40.7700            	5.1070             	8.7574             	7.1151             	0.5830             	60.0400            	0.0000             	0.0000             	0.0000             
86                 	2021-02-01 14:55:04	214.8000           	46.0600            	5.6480             	9.8937             	8.1291             	0.5700             	60.0400            	0.0000             	0.0000             	0.0000             
87                 	2021-02-01 14:55:05	214.7000           	48.1200            	5.8610             	10.3314            	8.5172             	0.5660             	60.0400            	0.0000             	0.0000             	0.0000             
88                 	2021-02-01 14:55:06	214.8000           	48.7500            	5.9100             	10.4715            	8.6471             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
89                 	2021-02-01 14:55:07	214.8000           	47.4300            	5.7840             	10.1880            	8.3920             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
90                 	2021-02-01 14:55:08	214.8000           	47.4700            	5.7880             	10.1966            	8.3991             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
91                 	2021-02-01 14:55:09	214.6000           	48.9900            	5.9280             	10.5133            	8.6888             	0.5630             	60.0300            	0.0000             	0.0000             	0.0000             
92                 	2021-02-01 14:55:10	214.6000           	48.2600            	5.8640             	10.3566            	8.5380             	0.5660             	60.0300            	0.0000             	0.0000             	0.0000             
93                 	2021-02-01 14:55:11	214.6000           	48.3800            	5.8780             	10.3823            	8.5664             	0.5650             	60.0400            	0.0000             	0.0000             	0.0000             
94                 	2021-02-01 14:55:12	214.5000           	48.4100            	5.8620             	10.3839            	8.5748             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
95                 	2021-02-01 14:55:14	214.5000           	47.6100            	5.7970             	10.2123            	8.4121             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
96                 	2021-02-01 14:55:15	214.6000           	47.5100            	5.7970             	10.1956            	8.3913             	0.5680             	60.0400            	0.0000             	0.0000             	0.0000             
97                 	2021-02-01 14:55:16	214.6000           	47.6200            	5.8190             	10.2193            	8.4037             	0.5690             	60.0300            	0.0000             	0.0000             	0.0000             
98                 	2021-02-01 14:55:17	214.6000           	47.8200            	5.8400             	10.2622            	8.4461             	0.5680             	60.0300            	0.0000             	0.0000             	0.0000             
99                 	2021-02-01 14:55:18	214.5000           	48.4900            	5.8900             	10.4011            	8.5747             	0.5660             	60.0400            	0.0000             	0.0000             	0.0000             
100                	2021-02-01 14:55:19	214.5000           	48.9300            	5.9250             	10.4955            	8.6669             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
101                	2021-02-01 14:55:20	214.5000           	48.4100            	5.8710             	10.3839            	8.5677             	0.5650             	60.0400            	0.0000             	0.0000             	0.0000             
102                	2021-02-01 14:55:21	214.6000           	48.5200            	5.8780             	10.4124            	8.5983             	0.5640             	60.0300            	0.0000             	0.0000             	0.0000             
103                	2021-02-01 14:55:23	214.6000           	48.8100            	5.9250             	10.4746            	8.6425             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
104                	2021-02-01 14:55:24	214.8000           	48.4100            	5.8790             	10.3985            	8.5797             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
105                	2021-02-01 14:55:25	214.6000           	48.3000            	5.8760             	10.3652            	8.5451             	0.5660             	60.0300            	0.0000             	0.0000             	0.0000             
106                	2021-02-01 14:55:26	214.7000           	48.5400            	5.8710             	10.4215            	8.6130             	0.5630             	60.0300            	0.0000             	0.0000             	0.0000             
107                	2021-02-01 14:55:27	214.6000           	48.3600            	5.8720             	10.3781            	8.5699             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
108                	2021-02-01 14:55:28	214.7000           	48.3700            	5.8950             	10.3850            	8.5969             	0.5610             	60.0300            	0.0000             	0.0000             	0.0000             
109                	2021-02-01 14:55:29	214.6000           	48.4400            	5.8660             	10.3952            	8.5841             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
110                	2021-02-01 14:55:30	214.8000           	48.7200            	5.8910             	10.4651            	8.6560             	0.5620             	60.0300            	0.0000             	0.0000             	0.0000             
111                	2021-02-01 14:55:31	214.9000           	48.5300            	5.8790             	10.4291            	8.6192             	0.5630             	60.0400            	0.0000             	0.0000             	0.0000             
112                	2021-02-01 14:55:32	215.0000           	38.1200            	4.7800             	8.1958             	6.6589             	0.5830             	60.0400            	0.0000             	0.0000             	0.0000             
113                	2021-02-01 14:55:34	215.1000           	24.5500            	3.1530             	5.2807             	4.2403             	0.5960             	60.0400            	0.0000             	0.0000             	0.0000             
114                	2021-02-01 14:55:35	215.1000           	23.8400            	3.0770             	5.1280             	4.1024             	0.6000             	60.0300            	0.0000             	0.0000             	0.0000             
115                	2021-02-01 14:55:36	214.8000           	28.6800            	3.6720             	6.1605             	4.9513             	0.5950             	60.0300            	0.0000             	0.0000             	0.0000             
116                	2021-02-01 14:55:37	214.7000           	28.6300            	3.6480             	6.1469             	4.9495             	0.5930             	60.0400            	0.0000             	0.0000             	0.0000             
117                	2021-02-01 14:55:38	214.7000           	24.0500            	3.0960             	5.1635             	4.1347             	0.5990             	60.0400            	0.0000             	0.0000             	0.0000             
118                	2021-02-01 14:55:39	214.6000           	24.5800            	3.1390             	5.2749             	4.2395             	0.5950             	60.0400            	0.0000             	0.0000             	0.0000             
119                	2021-02-01 14:55:40	214.5000           	23.6700            	3.0520             	5.0772             	4.0618             	0.6000             	60.0300            	0.0000             	0.0000             	0.0000             
120                	2021-02-01 14:55:41	214.4000           	24.9200            	3.1590             	5.3428             	4.3099             	0.5910             	60.0300            	0.0000             	0.0000             	0.0000             
121                	2021-02-01 14:55:42	214.4000           	24.1100            	3.0610             	5.1692             	4.1660             	0.5920             	60.0300            	0.0000             	0.0000             	0.0000             
122                	2021-02-01 14:55:43	214.2000           	36.3800            	4.4380             	7.7926             	6.4081             	0.5690             	60.0300            	0.0000             	0.0000             	0.0000             
