No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-02-01 15:03:09	215.0000           	24.0400            	3.0500             	5.1686             	4.1731             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 15:03:10	215.2000           	36.1200            	4.4990             	7.7730             	6.3431             	0.5780             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 15:03:11	215.2000           	35.0300            	4.3590             	7.5385             	6.1517             	0.5780             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 15:03:12	215.0000           	27.9400            	3.4970             	6.0071             	4.8849             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 15:03:13	215.1000           	24.7200            	3.1250             	5.3173             	4.3048             	0.5870             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 15:03:14	215.0000           	24.0900            	3.0580             	5.1794             	4.1818             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 15:03:15	214.9000           	24.0100            	3.0490             	5.1597             	4.1660             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 15:03:16	214.9000           	24.7400            	3.1140             	5.3166             	4.3120             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 15:03:17	215.1000           	23.9800            	3.0490             	5.1581             	4.1609             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 15:03:18	214.8000           	23.9100            	3.0380             	5.1359             	4.1430             	0.5910             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 15:03:20	215.1000           	30.8100            	3.8550             	6.6272             	5.3939             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 15:03:21	215.1000           	42.2900            	5.1770             	9.0966             	7.4867             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-02-01 15:03:22	215.2000           	48.9200            	5.8340             	10.5276            	8.7644             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-02-01 15:03:23	215.1000           	49.0800            	5.8580             	10.5571            	8.7890             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-02-01 15:03:24	215.0000           	48.4500            	5.7870             	10.4168            	8.6652             	0.5550             	59.9900            	0.0000             	0.0000             	0.0000             
16                 	2021-02-01 15:03:25	215.2000           	49.2700            	5.8760             	10.6029            	8.8271             	0.5540             	59.9900            	0.0000             	0.0000             	0.0000             
17                 	2021-02-01 15:03:26	215.2000           	49.2200            	5.8620             	10.5921            	8.8252             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-02-01 15:03:27	215.4000           	49.4700            	5.8770             	10.6558            	8.8924             	0.5510             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-02-01 15:03:28	215.2000           	48.8400            	5.8340             	10.5104            	8.7501             	0.5540             	60.0100            	0.0000             	0.0000             	0.0000             
20                 	2021-02-01 15:03:30	215.2000           	49.3700            	5.8860             	10.6244            	8.8521             	0.5530             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2021-02-01 15:03:31	215.2000           	49.4200            	5.8760             	10.6352            	8.8681             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-02-01 15:03:32	215.0000           	49.6400            	5.8860             	10.6726            	8.9063             	0.5510             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-02-01 15:03:33	215.1000           	49.4600            	5.8780             	10.6388            	8.8711             	0.5520             	59.9900            	0.0000             	0.0000             	0.0000             
24                 	2021-02-01 15:03:34	215.1000           	50.7000            	5.9810             	10.9056            	9.1223             	0.5480             	60.0000            	0.0000             	0.0000             	0.0000             
