No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ $ ]          
1                  	2021-02-01 15:11:42	214.2000           	24.3200            	3.0550             	5.2093             	4.2212             	0.5860             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 15:11:43	213.9000           	27.3900            	3.3960             	5.8587             	4.7768             	0.5790             	59.9900            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 15:11:44	214.0000           	24.2900            	3.0540             	5.1981             	4.2083             	0.5870             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 15:11:45	214.1000           	25.0400            	3.1370             	5.3611             	4.3519             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 15:11:46	214.1000           	30.0000            	3.7200             	6.4230             	5.2368             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 15:11:47	214.1000           	24.4300            	3.0610             	5.2305             	4.2458             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 15:11:49	214.1000           	25.2000            	3.1360             	5.3953             	4.3913             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 15:11:50	214.2000           	24.1500            	3.0490             	5.1729             	4.1804             	0.5890             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 15:11:51	214.2000           	24.1100            	3.0480             	5.1644             	4.1697             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 15:11:52	214.2000           	24.9000            	3.1140             	5.3336             	4.3334             	0.5830             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 15:11:53	214.0000           	28.6400            	3.5470             	6.1290             	5.0015             	0.5780             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 15:11:54	214.0000           	41.9100            	5.0920             	8.9687             	7.3877             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-02-01 15:11:55	214.1000           	49.1900            	5.8260             	10.5316            	8.7747             	0.5530             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-02-01 15:11:57	214.0000           	49.3100            	5.8350             	10.5523            	8.7990             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-02-01 15:11:58	214.1000           	49.5100            	5.8380             	10.6001            	8.8528             	0.5500             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-02-01 15:11:59	214.0000           	49.6200            	5.8390             	10.6187            	8.8753             	0.5490             	60.0000            	0.0000             	0.0000             	0.0000             
