No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-02-01 14:37:30	215.4000           	21.7600            	2.7610             	4.6871             	3.7912             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 14:37:31	215.4000           	21.8300            	2.7600             	4.7022             	3.8102             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 14:37:32	215.5000           	21.7500            	2.7520             	4.6871             	3.7946             	0.5870             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 14:37:33	215.4000           	21.7800            	2.7720             	4.6914             	3.7879             	0.5900             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 14:37:34	215.2000           	21.8400            	2.7760             	4.7000             	3.7948             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 14:37:35	215.2000           	21.7900            	2.7690             	4.6892             	3.7861             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 14:37:37	215.0000           	21.7900            	2.7620             	4.6848             	3.7860             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 14:37:38	215.2000           	21.7400            	2.7670             	4.6784             	3.7740             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 14:37:39	215.0000           	21.7900            	2.7620             	4.6848             	3.7860             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 14:37:40	215.0000           	21.8300            	2.7770             	4.6934             	3.7861             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 14:37:41	215.0000           	21.7800            	2.7610             	4.6827             	3.7842             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 14:37:42	215.0000           	21.8000            	2.7650             	4.6870             	3.7877             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-02-01 14:37:43	214.9000           	21.7200            	2.7620             	4.6676             	3.7652             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-02-01 14:37:44	215.2000           	21.7700            	2.7640             	4.6849             	3.7826             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2021-02-01 14:37:46	215.1000           	21.7300            	2.7620             	4.6741             	3.7739             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-02-01 14:37:47	215.1000           	21.7900            	2.7660             	4.6870             	3.7877             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
17                 	2021-02-01 14:37:48	215.8000           	21.7000            	2.7670             	4.6829             	3.7810             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
18                 	2021-02-01 14:37:49	215.5000           	21.7300            	2.7640             	4.6828             	3.7843             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
19                 	2021-02-01 14:37:50	215.5000           	21.8000            	2.7720             	4.6979             	3.7965             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-02-01 14:37:51	215.4000           	21.7900            	2.7770             	4.6936             	3.7862             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
21                 	2021-02-01 14:37:52	215.7000           	21.8100            	2.7740             	4.7044             	3.8018             	0.5890             	60.0300            	0.0000             	0.0000             	0.0000             
22                 	2021-02-01 14:37:53	215.7000           	21.6900            	2.7680             	4.6785             	3.7740             	0.5910             	60.0300            	0.0000             	0.0000             	0.0000             
23                 	2021-02-01 14:37:54	215.7000           	21.7800            	2.7720             	4.6979             	3.7966             	0.5890             	60.0300            	0.0000             	0.0000             	0.0000             
24                 	2021-02-01 14:37:55	215.6000           	21.7200            	2.7680             	4.6828             	3.7809             	0.5900             	60.0300            	0.0000             	0.0000             	0.0000             
25                 	2021-02-01 14:37:56	215.7000           	21.8700            	2.7820             	4.7174             	3.8123             	0.5890             	60.0300            	0.0000             	0.0000             	0.0000             
26                 	2021-02-01 14:37:58	215.2000           	21.9100            	2.7820             	4.7150             	3.8104             	0.5890             	60.0300            	0.0000             	0.0000             	0.0000             
27                 	2021-02-01 14:37:59	215.4000           	21.9000            	2.7730             	4.7173             	3.8190             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
28                 	2021-02-01 14:38:00	215.5000           	21.7900            	2.7520             	4.6957             	3.8084             	0.5850             	60.0300            	0.0000             	0.0000             	0.0000             
29                 	2021-02-01 14:38:01	215.8000           	21.7300            	2.7570             	4.6893             	3.7964             	0.5870             	60.0500            	0.0000             	0.0000             	0.0000             
30                 	2021-02-01 14:38:02	215.6000           	21.7000            	2.7500             	4.6785             	3.7877             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
31                 	2021-02-01 14:38:03	215.6000           	21.6900            	2.7520             	4.6764             	3.7825             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
32                 	2021-02-01 14:38:04	215.5000           	21.7100            	2.7500             	4.6785             	3.7877             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
33                 	2021-02-01 14:38:05	215.4000           	21.7400            	2.7540             	4.6828             	3.7911             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
34                 	2021-02-01 14:38:06	215.5000           	21.7000            	2.7500             	4.6764             	3.7859             	0.5870             	60.0200            	0.0000             	0.0000             	0.0000             
35                 	2021-02-01 14:38:08	215.4000           	21.6900            	2.7480             	4.6720             	3.7790             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
