No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-02-01 14:28:25	213.5000           	15.8800            	1.9200             	3.3904             	2.7950             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-02-01 14:28:26	213.4000           	15.9100            	1.9280             	3.3952             	2.7967             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-02-01 14:28:27	213.3000           	15.9500            	1.9280             	3.4021             	2.8047             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-02-01 14:28:28	213.5000           	15.8600            	1.9200             	3.3861             	2.7915             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-02-01 14:28:29	213.4000           	15.8900            	1.9230             	3.3909             	2.7955             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-02-01 14:28:30	213.4000           	15.8500            	1.9190             	3.3824             	2.7861             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-02-01 14:28:31	213.4000           	15.9500            	1.9340             	3.4037             	2.8014             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-02-01 14:28:32	213.5000           	15.9700            	1.9350             	3.4096             	2.8085             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-02-01 14:28:33	213.5000           	15.8200            	1.9220             	3.3776             	2.7798             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-02-01 14:28:35	213.7000           	15.8700            	1.9340             	3.3914             	2.7889             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-02-01 14:28:36	213.8000           	15.8700            	1.9320             	3.3930             	2.7902             	0.5690             	59.9900            	0.0000             	0.0000             	0.0000             
12                 	2021-02-01 14:28:37	213.7000           	15.7400            	1.9120             	3.3636             	2.7684             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-02-01 14:28:38	213.5000           	15.7900            	1.9150             	3.3712             	2.7769             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-02-01 14:28:39	213.7000           	15.8600            	1.9160             	3.3893             	2.7965             	0.5650             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-02-01 14:28:40	213.6000           	15.9400            	1.9340             	3.4048             	2.8046             	0.5670             	59.9800            	0.0000             	0.0000             	0.0000             
16                 	2021-02-01 14:28:41	213.7000           	15.8500            	1.9300             	3.3871             	2.7854             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-02-01 14:28:42	213.8000           	15.7000            	1.9160             	3.3567             	2.7580             	0.5700             	60.0100            	0.0000             	0.0000             	0.0000             
18                 	2021-02-01 14:28:43	213.9000           	15.8700            	1.9390             	3.3946             	2.7891             	0.5700             	60.0100            	0.0000             	0.0000             	0.0000             
19                 	2021-02-01 14:28:45	213.8000           	15.8600            	1.9360             	3.3909             	2.7837             	0.5710             	60.0100            	0.0000             	0.0000             	0.0000             
20                 	2021-02-01 14:28:46	213.9000           	15.7500            	1.9160             	3.3689             	2.7727             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-02-01 14:28:47	213.9000           	15.7900            	1.9210             	3.3775             	2.7798             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
22                 	2021-02-01 14:28:48	213.8000           	15.7600            	1.9200             	3.3695             	2.7709             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
23                 	2021-02-01 14:28:49	213.8000           	15.7200            	1.9150             	3.3609             	2.7638             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2021-02-01 14:28:50	213.8000           	15.8400            	1.9280             	3.3866             	2.7849             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
25                 	2021-02-01 14:28:51	213.3000           	15.8400            	1.9260             	3.3787             	2.7784             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
26                 	2021-02-01 14:28:52	213.7000           	15.8400            	1.9290             	3.3850             	2.7836             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
27                 	2021-02-01 14:28:53	213.7000           	17.3400            	2.1000             	3.7056             	3.0549             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-02-01 14:28:54	213.8000           	15.8400            	1.9270             	3.3866             	2.7873             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
29                 	2021-02-01 14:28:55	213.8000           	15.7200            	1.9160             	3.3609             	2.7615             	0.5700             	60.0100            	0.0000             	0.0000             	0.0000             
30                 	2021-02-01 14:28:57	213.8000           	15.7900            	1.9240             	3.3759             	2.7761             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
