No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 21:34:24	216.1000           	13.2100            	1.6940             	2.8547             	2.3007             	0.5920             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 21:34:25	216.6000           	13.0700            	1.6820             	2.8310             	2.2774             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 21:34:26	216.4000           	13.1400            	1.6930             	2.8435             	2.2854             	0.5950             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 21:34:27	216.6000           	13.2200            	1.6940             	2.8635             	2.3099             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 21:34:28	216.5000           	13.1900            	1.6880             	2.8556             	2.3036             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 21:34:29	216.7000           	13.1700            	1.6860             	2.8539             	2.3043             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 21:34:30	216.6000           	13.2200            	1.6920             	2.8635             	2.3120             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 21:34:31	216.5000           	13.2500            	1.6950             	2.8686             	2.3161             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 21:34:32	216.6000           	13.0900            	1.6840             	2.8353             	2.2830             	0.5930             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 21:34:33	216.8000           	13.1000            	1.6890             	2.8401             	2.2847             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 21:34:35	216.7000           	13.0600            	1.6850             	2.8301             	2.2746             	0.5950             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 21:34:36	216.8000           	13.0500            	1.6840             	2.8292             	2.2760             	0.5940             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 21:34:37	216.6000           	13.1100            	1.6890             	2.8396             	2.2844             	0.5940             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 21:34:38	216.7000           	13.1200            	1.6900             	2.8431             	2.2893             	0.5930             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 21:34:39	216.7000           	13.1100            	1.6910             	2.8409             	2.2833             	0.5950             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 21:34:40	216.6000           	13.1200            	1.6910             	2.8418             	2.2861             	0.5940             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 21:34:41	216.7000           	13.1000            	1.6880             	2.8388             	2.2837             	0.5940             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-28 21:34:42	216.7000           	13.1000            	1.6890             	2.8388             	2.2837             	0.5940             	60.0100            	0.0000             	0.0000             	0.0000             
19                 	2021-01-28 21:34:43	216.7000           	13.0300            	1.6840             	2.8236             	2.2673             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
20                 	2021-01-28 21:34:44	216.6000           	12.9500            	1.6840             	2.8050             	2.2440             	0.6000             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-01-28 21:34:46	216.5000           	13.1200            	1.7010             	2.8405             	2.2766             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
22                 	2021-01-28 21:34:47	216.7000           	12.9500            	1.6860             	2.8063             	2.2450             	0.6000             	60.0100            	0.0000             	0.0000             	0.0000             
23                 	2021-01-28 21:34:48	216.6000           	13.0100            	1.6850             	2.8180             	2.2607             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2021-01-28 21:34:49	216.6000           	13.1100            	1.6910             	2.8396             	2.2823             	0.5950             	60.0000            	0.0000             	0.0000             	0.0000             
25                 	2021-01-28 21:34:50	216.8000           	13.0100            	1.6830             	2.8206             	2.2649             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-01-28 21:34:51	216.8000           	13.0700            	1.6930             	2.8336             	2.2732             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-01-28 21:34:52	216.8000           	13.0300            	1.6870             	2.8249             	2.2684             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
28                 	2021-01-28 21:34:53	216.8000           	12.9700            	1.6840             	2.8119             	2.2537             	0.5980             	60.0000            	0.0000             	0.0000             	0.0000             
29                 	2021-01-28 21:34:54	216.8000           	13.0400            	1.6850             	2.8271             	2.2701             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
30                 	2021-01-28 21:34:56	216.9000           	12.9500            	1.6790             	2.8089             	2.2534             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
31                 	2021-01-28 21:34:57	216.9000           	13.1600            	1.7030             	2.8544             	2.2920             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
32                 	2021-01-28 21:34:58	216.9000           	13.0900            	1.6990             	2.8392             	2.2756             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
33                 	2021-01-28 21:34:59	216.9000           	14.3800            	1.8360             	3.1190             	2.5229             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
34                 	2021-01-28 21:35:00	216.8000           	13.1000            	1.7000             	2.8401             	2.2763             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
35                 	2021-01-28 21:35:01	216.9000           	12.9600            	1.6810             	2.8110             	2.2551             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
36                 	2021-01-28 21:35:03	216.8000           	13.0000            	1.6820             	2.8184             	2.2631             	0.5960             	60.0100            	0.0000             	0.0000             	0.0000             
37                 	2021-01-28 21:35:04	216.9000           	13.1000            	1.6950             	2.8414             	2.2816             	0.5960             	60.0200            	0.0000             	0.0000             	0.0000             
38                 	2021-01-28 21:35:05	216.8000           	13.0300            	1.6860             	2.8249             	2.2684             	0.5960             	60.0200            	0.0000             	0.0000             	0.0000             
39                 	2021-01-28 21:35:06	216.8000           	13.0600            	1.6910             	2.8314             	2.2736             	0.5960             	60.0100            	0.0000             	0.0000             	0.0000             
40                 	2021-01-28 21:35:07	216.9000           	13.0600            	1.6940             	2.8327             	2.2725             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
41                 	2021-01-28 21:35:08	216.8000           	12.9900            	1.6880             	2.8162             	2.2551             	0.5990             	60.0100            	0.0000             	0.0000             	0.0000             
42                 	2021-01-28 21:35:09	216.6000           	13.0300            	1.6840             	2.8223             	2.2663             	0.5960             	60.0100            	0.0000             	0.0000             	0.0000             
43                 	2021-01-28 21:35:10	216.5000           	13.0300            	1.6850             	2.8210             	2.2652             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
44                 	2021-01-28 21:35:11	216.6000           	13.0400            	1.6860             	2.8245             	2.2680             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
45                 	2021-01-28 21:35:13	216.5000           	13.0600            	1.6870             	2.8275             	2.2704             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
46                 	2021-01-28 21:35:14	216.5000           	13.0600            	1.6880             	2.8275             	2.2704             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
47                 	2021-01-28 21:35:15	216.7000           	13.1100            	1.6950             	2.8409             	2.2812             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
48                 	2021-01-28 21:35:16	216.5000           	13.0200            	1.6840             	2.8188             	2.2614             	0.5970             	59.9700            	0.0000             	0.0000             	0.0000             
49                 	2021-01-28 21:35:17	216.7000           	13.1000            	1.6990             	2.8388             	2.2753             	0.5980             	59.9700            	0.0000             	0.0000             	0.0000             
50                 	2021-01-28 21:35:18	216.6000           	13.0400            	1.6860             	2.8245             	2.2680             	0.5960             	59.9700            	0.0000             	0.0000             	0.0000             
51                 	2021-01-28 21:35:19	216.7000           	13.0800            	1.6900             	2.8344             	2.2760             	0.5960             	59.9700            	0.0000             	0.0000             	0.0000             
52                 	2021-01-28 21:35:20	216.7000           	13.0900            	1.6880             	2.8366             	2.2799             	0.5950             	59.9700            	0.0000             	0.0000             	0.0000             
53                 	2021-01-28 21:35:21	216.8000           	13.0300            	1.6870             	2.8249             	2.2684             	0.5960             	59.9700            	0.0000             	0.0000             	0.0000             
54                 	2021-01-28 21:35:22	216.8000           	12.9900            	1.6820             	2.8162             	2.2614             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
55                 	2021-01-28 21:35:24	216.9000           	13.0000            	1.6850             	2.8197             	2.2621             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
56                 	2021-01-28 21:35:25	217.0000           	13.0700            	1.6910             	2.8362             	2.2774             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
57                 	2021-01-28 21:35:26	217.1000           	13.0600            	1.6950             	2.8353             	2.2746             	0.5970             	59.9600            	0.0000             	0.0000             	0.0000             
58                 	2021-01-28 21:35:27	217.0000           	13.0000            	1.6880             	2.8210             	2.2610             	0.5980             	59.9600            	0.0000             	0.0000             	0.0000             
59                 	2021-01-28 21:35:28	216.9000           	13.0100            	1.6870             	2.8219             	2.2638             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
60                 	2021-01-28 21:35:29	216.9000           	13.1900            	1.7110             	2.8609             	2.2951             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
61                 	2021-01-28 21:35:30	216.9000           	13.0100            	1.6860             	2.8219             	2.2638             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
62                 	2021-01-28 21:35:31	216.8000           	13.0200            	1.6840             	2.8227             	2.2666             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
63                 	2021-01-28 21:35:32	217.0000           	12.9600            	1.6840             	2.8123             	2.2541             	0.5980             	59.9800            	0.0000             	0.0000             	0.0000             
64                 	2021-01-28 21:35:34	216.9000           	13.0200            	1.6870             	2.8240             	2.2656             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
65                 	2021-01-28 21:35:35	217.0000           	13.0800            	1.6980             	2.8384             	2.2749             	0.5980             	59.9800            	0.0000             	0.0000             	0.0000             
66                 	2021-01-28 21:35:36	217.0000           	13.0000            	1.6880             	2.8210             	2.2610             	0.5980             	59.9800            	0.0000             	0.0000             	0.0000             
67                 	2021-01-28 21:35:37	216.9000           	13.0100            	1.6880             	2.8219             	2.2638             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
68                 	2021-01-28 21:35:38	217.0000           	13.0000            	1.6870             	2.8210             	2.2610             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
69                 	2021-01-28 21:35:39	217.1000           	13.0100            	1.6910             	2.8245             	2.2638             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
70                 	2021-01-28 21:35:40	217.1000           	12.9900            	1.6910             	2.8201             	2.2582             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
71                 	2021-01-28 21:35:42	217.0000           	13.0200            	1.6930             	2.8253             	2.2624             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
72                 	2021-01-28 21:35:43	217.0000           	13.0300            	1.6890             	2.8275             	2.2683             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
73                 	2021-01-28 21:35:44	217.0000           	13.0200            	1.6910             	2.8253             	2.2645             	0.5980             	60.0000            	0.0000             	0.0000             	0.0000             
74                 	2021-01-28 21:35:45	217.1000           	13.0100            	1.6880             	2.8245             	2.2659             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
75                 	2021-01-28 21:35:46	217.0000           	13.0100            	1.6860             	2.8232             	2.2649             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
76                 	2021-01-28 21:35:47	217.0000           	12.9800            	1.6870             	2.8167             	2.2575             	0.5980             	60.0000            	0.0000             	0.0000             	0.0000             
77                 	2021-01-28 21:35:48	217.0000           	13.0000            	1.6850             	2.8210             	2.2631             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
78                 	2021-01-28 21:35:49	217.0000           	13.0500            	1.6920             	2.8319             	2.2718             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
79                 	2021-01-28 21:35:51	216.8000           	13.0000            	1.6940             	2.8184             	2.2547             	0.6000             	60.0000            	0.0000             	0.0000             	0.0000             
80                 	2021-01-28 21:35:52	217.0000           	13.0300            	1.6870             	2.8275             	2.2704             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
81                 	2021-01-28 21:35:53	216.9000           	13.0300            	1.6890             	2.8262             	2.2673             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
82                 	2021-01-28 21:35:54	216.8000           	13.0200            	1.6890             	2.8227             	2.2645             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
83                 	2021-01-28 21:35:55	216.8000           	13.0800            	1.6920             	2.8357             	2.2771             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
84                 	2021-01-28 21:35:56	216.7000           	13.0400            	1.6870             	2.8258             	2.2690             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
85                 	2021-01-28 21:35:57	216.6000           	13.0500            	1.6830             	2.8266             	2.2718             	0.5950             	60.0000            	0.0000             	0.0000             	0.0000             
86                 	2021-01-28 21:35:58	216.4000           	13.6600            	1.7730             	2.9560             	2.3670             	0.5990             	59.9800            	0.0000             	0.0000             	0.0000             
87                 	2021-01-28 21:36:00	216.2000           	13.2700            	1.7200             	2.8690             	2.2973             	0.5990             	59.9800            	0.0000             	0.0000             	0.0000             
88                 	2021-01-28 21:36:01	216.5000           	13.0700            	1.6970             	2.8297             	2.2722             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
89                 	2021-01-28 21:36:02	216.6000           	13.1400            	1.6940             	2.8461             	2.3083             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
90                 	2021-01-28 21:36:03	216.9000           	13.1500            	1.6950             	2.8522             	2.2945             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
91                 	2021-01-28 21:36:04	217.1000           	12.9700            	1.6890             	2.8158             	2.2547             	0.5990             	59.9800            	0.0000             	0.0000             	0.0000             
92                 	2021-01-28 21:36:05	217.0000           	13.0100            	1.6870             	2.8232             	2.2649             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
93                 	2021-01-28 21:36:06	217.1000           	12.9400            	1.6860             	2.8093             	2.2474             	0.6000             	59.9800            	0.0000             	0.0000             	0.0000             
94                 	2021-01-28 21:36:07	217.0000           	12.9900            	1.6900             	2.8188             	2.2572             	0.5990             	59.9900            	0.0000             	0.0000             	0.0000             
95                 	2021-01-28 21:36:08	217.0000           	13.0000            	1.6900             	2.8210             	2.2610             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
96                 	2021-01-28 21:36:10	216.9000           	12.9700            	1.6890             	2.8132             	2.2506             	0.6000             	59.9900            	0.0000             	0.0000             	0.0000             
97                 	2021-01-28 21:36:11	217.0000           	12.9500            	1.6910             	2.8102             	2.2460             	0.6010             	59.9800            	0.0000             	0.0000             	0.0000             
98                 	2021-01-28 21:36:12	217.0000           	13.0000            	1.6900             	2.8210             	2.2589             	0.5990             	59.9700            	0.0000             	0.0000             	0.0000             
