No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 22:01:49	216.7000           	16.0300            	2.0720             	3.4737             	2.7893             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 22:01:50	216.7000           	16.0100            	2.0710             	3.4694             	2.7858             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 22:01:51	216.5000           	15.9800            	2.0640             	3.4597             	2.7781             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 22:01:52	216.8000           	15.9200            	2.0630             	3.4515             	2.7689             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 22:01:53	216.7000           	16.0200            	2.0660             	3.4715             	2.7927             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 22:01:54	216.8000           	15.9700            	2.0640             	3.4623             	2.7802             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 22:01:55	216.8000           	25.6800            	2.9000             	5.5674             	4.7555             	0.5200             	59.9900            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 22:01:56	216.6000           	30.5900            	3.5900             	6.6258             	5.5724             	0.5410             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 22:01:57	216.8000           	30.4500            	3.5810             	6.6016             	5.5478             	0.5420             	59.9900            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 22:01:59	216.6000           	28.5300            	3.4220             	6.1796             	5.1487             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 22:02:00	216.7000           	27.6200            	3.3280             	5.9853             	4.9788             	0.5550             	59.9900            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 22:02:01	216.7000           	28.5400            	3.3880             	6.1846             	5.1773             	0.5470             	59.9900            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 22:02:02	216.6000           	27.0900            	3.2570             	5.8677             	4.8850             	0.5540             	59.9800            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 22:02:03	216.6000           	28.3000            	3.3600             	6.1298             	5.1314             	0.5470             	59.9800            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 22:02:04	216.6000           	28.0800            	3.3440             	6.0821             	5.0836             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 22:02:05	216.6000           	27.5000            	3.3000             	5.9565             	4.9628             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 22:02:06	216.6000           	28.0400            	3.3450             	6.0735             	5.0723             	0.5500             	59.9800            	0.0000             	0.0000             	0.0000             
18                 	2021-01-28 22:02:08	216.6000           	27.4700            	3.2890             	5.9500             	4.9614             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-01-28 22:02:09	216.6000           	26.5500            	3.1990             	5.7507             	4.7837             	0.5550             	59.9800            	0.0000             	0.0000             	0.0000             
20                 	2021-01-28 22:02:10	216.7000           	13.8500            	1.7680             	3.0013             	2.4254             	0.5890             	59.9800            	0.0000             	0.0000             	0.0000             
21                 	2021-01-28 22:02:11	216.6000           	13.8200            	1.7760             	2.9934             	2.4103             	0.5930             	59.9800            	0.0000             	0.0000             	0.0000             
22                 	2021-01-28 22:02:12	216.6000           	13.7200            	1.7770             	2.9718             	2.3841             	0.5970             	59.9800            	0.0000             	0.0000             	0.0000             
23                 	2021-01-28 22:02:13	216.7000           	13.7600            	1.7730             	2.9818             	2.3987             	0.5940             	59.9800            	0.0000             	0.0000             	0.0000             
24                 	2021-01-28 22:02:14	216.7000           	13.7100            	1.7700             	2.9710             	2.3878             	0.5950             	59.9800            	0.0000             	0.0000             	0.0000             
25                 	2021-01-28 22:02:16	216.9000           	13.8200            	1.7730             	2.9976             	2.4180             	0.5910             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-28 22:02:17	216.9000           	13.8000            	1.7780             	2.9932             	2.4101             	0.5930             	59.9900            	0.0000             	0.0000             	0.0000             
27                 	2021-01-28 22:02:18	217.0000           	13.7800            	1.7740             	2.9903             	2.4078             	0.5930             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-01-28 22:02:19	217.0000           	13.7500            	1.7740             	2.9838             	2.4003             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
29                 	2021-01-28 22:02:20	217.0000           	24.8700            	3.0600             	5.3968             	4.4491             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
30                 	2021-01-28 22:02:21	216.9000           	25.2700            	3.0970             	5.4811             	4.5261             	0.5640             	59.9900            	0.0000             	0.0000             	0.0000             
31                 	2021-01-28 22:02:22	217.0000           	28.2400            	3.3630             	6.1281             	5.1260             	0.5480             	59.9900            	0.0000             	0.0000             	0.0000             
32                 	2021-01-28 22:02:23	216.9000           	28.6800            	3.4160             	6.2207             	5.2035             	0.5480             	59.9800            	0.0000             	0.0000             	0.0000             
33                 	2021-01-28 22:02:24	216.9000           	28.3000            	3.3900             	6.1383             	5.1184             	0.5520             	59.9800            	0.0000             	0.0000             	0.0000             
34                 	2021-01-28 22:02:26	216.9000           	29.1200            	3.4610             	6.3161             	5.2874             	0.5470             	59.9800            	0.0000             	0.0000             	0.0000             
35                 	2021-01-28 22:02:27	217.0000           	28.5900            	3.4100             	6.2040             	5.1855             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
36                 	2021-01-28 22:02:28	217.0000           	28.5600            	3.4150             	6.1975             	5.1759             	0.5500             	59.9900            	0.0000             	0.0000             	0.0000             
37                 	2021-01-28 22:02:29	216.9000           	25.7300            	3.1490             	5.5808             	4.6085             	0.5640             	59.9900            	0.0000             	0.0000             	0.0000             
38                 	2021-01-28 22:02:30	216.9000           	24.9700            	3.0720             	5.4160             	4.4612             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
39                 	2021-01-28 22:02:31	216.8000           	25.0600            	3.0760             	5.4330             	4.4827             	0.5650             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-01-28 22:02:32	216.8000           	25.5900            	3.1250             	5.5479             	4.5851             	0.5630             	59.9900            	0.0000             	0.0000             	0.0000             
41                 	2021-01-28 22:02:33	217.0000           	27.0400            	3.2700             	5.8677             	4.8732             	0.5570             	59.9900            	0.0000             	0.0000             	0.0000             
42                 	2021-01-28 22:02:35	217.0000           	27.7000            	3.3190             	6.0109             	5.0122             	0.5520             	59.9900            	0.0000             	0.0000             	0.0000             
43                 	2021-01-28 22:02:36	217.1000           	25.9300            	3.1690             	5.6294             	4.6563             	0.5620             	59.9900            	0.0000             	0.0000             	0.0000             
44                 	2021-01-28 22:02:37	217.1000           	29.0900            	3.4490             	6.3154             	5.2951             	0.5450             	59.9900            	0.0000             	0.0000             	0.0000             
45                 	2021-01-28 22:02:38	217.0000           	30.4700            	3.5800             	6.6120             	5.5608             	0.5410             	59.9900            	0.0000             	0.0000             	0.0000             
46                 	2021-01-28 22:02:39	217.1000           	28.8800            	3.4390             	6.2698             	5.2446             	0.5480             	59.9800            	0.0000             	0.0000             	0.0000             
47                 	2021-01-28 22:02:40	217.1000           	32.7400            	3.7780             	7.1079             	6.0230             	0.5310             	59.9900            	0.0000             	0.0000             	0.0000             
48                 	2021-01-28 22:02:41	217.1000           	28.5400            	3.4000             	6.1960             	5.1828             	0.5480             	59.9900            	0.0000             	0.0000             	0.0000             
49                 	2021-01-28 22:02:43	217.2000           	31.1900            	3.6300             	6.7745             	5.7234             	0.5350             	59.9900            	0.0000             	0.0000             	0.0000             
50                 	2021-01-28 22:02:44	217.2000           	30.2300            	3.5430             	6.5660             	5.5305             	0.5390             	59.9900            	0.0000             	0.0000             	0.0000             
51                 	2021-01-28 22:02:45	217.2000           	30.2300            	3.5520             	6.5660             	5.5263             	0.5400             	59.9900            	0.0000             	0.0000             	0.0000             
52                 	2021-01-28 22:02:46	217.1000           	29.5500            	3.4080             	6.4153             	5.3578             	0.5500             	60.0000            	0.0000             	0.0000             	0.0000             
