No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 22:08:49	214.2000           	16.9200            	2.1040             	3.6243             	2.9524             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 22:08:50	214.1000           	17.1600            	2.1290             	3.6740             	2.9955             	0.5790             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 22:08:51	214.1000           	32.6300            	3.6840             	6.9861             	5.9372             	0.5270             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 22:08:52	214.1000           	31.1700            	3.5640             	6.6735             	5.6465             	0.5330             	60.0300            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 22:08:53	214.2000           	34.0800            	3.8190             	7.2999             	6.2220             	0.5230             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 22:08:54	214.1000           	29.8500            	3.4410             	6.3909             	5.3872             	0.5380             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 22:08:55	214.1000           	28.5700            	3.3030             	6.1168             	5.1522             	0.5390             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 22:08:57	214.1000           	29.0700            	3.3510             	6.2239             	5.2464             	0.5380             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 22:08:58	214.1000           	29.3400            	3.3720             	6.2817             	5.3031             	0.5360             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 22:08:59	214.1000           	29.3700            	3.3530             	6.2881             	5.2925             	0.5400             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 22:09:00	214.1000           	29.5900            	3.4140             	6.3352             	5.3402             	0.5380             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 22:09:01	214.0000           	28.6400            	3.3260             	6.1290             	5.1506             	0.5420             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 22:09:02	214.1000           	28.5000            	3.3220             	6.1018             	5.1200             	0.5440             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 22:09:03	214.2000           	28.6600            	3.3440             	6.1390             	5.1511             	0.5440             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 22:09:04	214.2000           	27.5000            	3.2300             	5.8905             	4.9273             	0.5480             	60.0200            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 22:09:05	214.1000           	28.2300            	3.3100             	6.0440             	5.0597             	0.5470             	59.9900            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 22:09:06	214.2000           	14.8800            	1.8540             	3.1873             	2.5942             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-28 22:09:07	214.3000           	15.7100            	1.9290             	3.3667             	2.7592             	0.5730             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-01-28 22:09:08	214.3000           	14.8000            	1.8500             	3.1716             	2.5791             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
20                 	2021-01-28 22:09:09	214.3000           	14.7600            	1.8470             	3.1631             	2.5676             	0.5840             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-01-28 22:09:11	214.3000           	14.7400            	1.8430             	3.1588             	2.5664             	0.5830             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-01-28 22:09:12	214.4000           	14.6700            	1.8320             	3.1452             	2.5577             	0.5820             	60.0200            	0.0000             	0.0000             	0.0000             
23                 	2021-01-28 22:09:13	214.2000           	14.7900            	1.8450             	3.1680             	2.5762             	0.5820             	60.0300            	0.0000             	0.0000             	0.0000             
24                 	2021-01-28 22:09:14	214.2000           	14.8200            	1.8480             	3.1744             	2.5837             	0.5810             	60.0200            	0.0000             	0.0000             	0.0000             
25                 	2021-01-28 22:09:15	214.1000           	21.3500            	2.5050             	4.5710             	3.8266             	0.5470             	60.0300            	0.0000             	0.0000             	0.0000             
26                 	2021-01-28 22:09:16	214.2000           	26.1700            	3.1180             	5.6056             	4.6593             	0.5560             	60.0300            	0.0000             	0.0000             	0.0000             
27                 	2021-01-28 22:09:17	214.2000           	27.7900            	3.2620             	5.9526             	4.9831             	0.5470             	60.0200            	0.0000             	0.0000             	0.0000             
28                 	2021-01-28 22:09:18	214.3000           	29.6100            	3.4210             	6.3454             	5.3488             	0.5380             	60.0200            	0.0000             	0.0000             	0.0000             
29                 	2021-01-28 22:09:20	214.2000           	28.9500            	3.3720             	6.2011             	5.2073             	0.5430             	60.0200            	0.0000             	0.0000             	0.0000             
30                 	2021-01-28 22:09:21	214.1000           	28.8100            	3.3630             	6.1682             	5.1717             	0.5450             	60.0300            	0.0000             	0.0000             	0.0000             
31                 	2021-01-28 22:09:22	214.2000           	29.2100            	3.3920             	6.2568             	5.2621             	0.5410             	60.0300            	0.0000             	0.0000             	0.0000             
32                 	2021-01-28 22:09:23	214.0000           	29.2900            	3.3980             	6.2681             	5.2716             	0.5410             	60.0200            	0.0000             	0.0000             	0.0000             
33                 	2021-01-28 22:09:24	214.0000           	29.3000            	3.3990             	6.2702             	5.2734             	0.5410             	60.0200            	0.0000             	0.0000             	0.0000             
34                 	2021-01-28 22:09:25	214.0000           	25.9100            	3.0800             	5.5447             	4.6124             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
35                 	2021-01-28 22:09:26	214.0000           	25.8200            	3.0750             	5.5255             	4.5927             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
36                 	2021-01-28 22:09:27	214.0000           	25.7800            	3.0760             	5.5169             	4.5819             	0.5570             	60.0200            	0.0000             	0.0000             	0.0000             
37                 	2021-01-28 22:09:29	214.1000           	25.1000            	2.9980             	5.3739             	4.4631             	0.5570             	60.0200            	0.0000             	0.0000             	0.0000             
38                 	2021-01-28 22:09:30	214.2000           	26.7400            	3.1570             	5.7277             	4.7798             	0.5510             	60.0200            	0.0000             	0.0000             	0.0000             
39                 	2021-01-28 22:09:31	214.0000           	27.2100            	3.1890             	5.8229             	4.8746             	0.5470             	60.0200            	0.0000             	0.0000             	0.0000             
40                 	2021-01-28 22:09:32	214.0000           	28.1200            	3.2640             	6.0177             	5.0571             	0.5420             	60.0200            	0.0000             	0.0000             	0.0000             
41                 	2021-01-28 22:09:33	214.1000           	30.2600            	3.4620             	6.4787             	5.4776             	0.5340             	60.0200            	0.0000             	0.0000             	0.0000             
42                 	2021-01-28 22:09:34	214.0000           	30.8900            	3.5100             	6.6105             	5.6057             	0.5300             	60.0200            	0.0000             	0.0000             	0.0000             
43                 	2021-01-28 22:09:35	214.0000           	32.1100            	3.6210             	6.8715             	5.8441             	0.5260             	60.0100            	0.0000             	0.0000             	0.0000             
44                 	2021-01-28 22:09:36	214.1000           	29.5600            	3.3870             	6.3288             	5.3509             	0.5340             	60.0200            	0.0000             	0.0000             	0.0000             
45                 	2021-01-28 22:09:38	214.0000           	31.1200            	3.5280             	6.6597             	5.6515             	0.5290             	60.0100            	0.0000             	0.0000             	0.0000             
46                 	2021-01-28 22:09:39	214.0000           	31.5800            	3.5580             	6.7581             	5.7477             	0.5260             	60.0100            	0.0000             	0.0000             	0.0000             
47                 	2021-01-28 22:09:40	213.9000           	31.2200            	3.5300             	6.6780             	5.6712             	0.5280             	60.0100            	0.0000             	0.0000             	0.0000             
48                 	2021-01-28 22:09:41	214.1000           	33.6900            	3.7610             	7.2130             	6.1567             	0.5210             	60.0100            	0.0000             	0.0000             	0.0000             
49                 	2021-01-28 22:09:42	214.0000           	30.1800            	3.4410             	6.4585             	5.4687             	0.5320             	60.0100            	0.0000             	0.0000             	0.0000             
50                 	2021-01-28 22:09:43	214.1000           	29.0300            	3.3390             	6.2153             	5.2431             	0.5370             	60.0100            	0.0000             	0.0000             	0.0000             
51                 	2021-01-28 22:09:44	214.1000           	31.5600            	3.5710             	6.7570             	5.7383             	0.5280             	60.0100            	0.0000             	0.0000             	0.0000             
52                 	2021-01-28 22:09:45	214.0000           	30.4400            	3.4980             	6.5142             	5.4994             	0.5360             	60.0100            	0.0000             	0.0000             	0.0000             
53                 	2021-01-28 22:09:47	214.0000           	32.0700            	3.6240             	6.8630             	5.8326             	0.5270             	60.0100            	0.0000             	0.0000             	0.0000             
54                 	2021-01-28 22:09:48	214.0000           	29.3500            	3.3820             	6.2809             	5.2945             	0.5380             	60.0100            	0.0000             	0.0000             	0.0000             
55                 	2021-01-28 22:09:49	213.8000           	28.0900            	3.2280             	6.0056             	5.0663             	0.5370             	60.0000            	0.0000             	0.0000             	0.0000             
56                 	2021-01-28 22:09:50	213.7000           	30.0800            	3.4430             	6.4281             	5.4308             	0.5350             	60.0000            	0.0000             	0.0000             	0.0000             
57                 	2021-01-28 22:09:51	215.1000           	57.9500            	5.9020             	12.4650            	10.9825            	0.4730             	59.9900            	0.0000             	0.0000             	0.0000             
58                 	2021-01-28 22:09:52	215.1000           	59.6800            	6.0040             	12.8372            	11.3514            	0.4670             	59.9900            	0.0000             	0.0000             	0.0000             
59                 	2021-01-28 22:09:53	215.2000           	59.8300            	6.0090             	12.8754            	11.3920            	0.4660             	59.9900            	0.0000             	0.0000             	0.0000             
60                 	2021-01-28 22:09:55	215.2000           	47.3200            	4.8930             	10.1833            	8.9335             	0.4800             	59.9900            	0.0000             	0.0000             	0.0000             
61                 	2021-01-28 22:09:56	215.1000           	28.7400            	3.3670             	6.1820             	5.1872             	0.5440             	59.9800            	0.0000             	0.0000             	0.0000             
62                 	2021-01-28 22:09:57	215.2000           	21.8900            	2.6770             	4.7107             	3.8803             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
63                 	2021-01-28 22:09:58	215.3000           	15.1700            	1.9010             	3.2661             	2.6583             	0.5810             	59.9800            	0.0000             	0.0000             	0.0000             
64                 	2021-01-28 22:09:59	215.4000           	15.3400            	1.9160             	3.3042             	2.6940             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
65                 	2021-01-28 22:10:00	215.3000           	18.4000            	2.2050             	3.9615             	3.2927             	0.5560             	59.9800            	0.0000             	0.0000             	0.0000             
