No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 22:15:41	214.9000           	16.3200            	2.0180             	3.5072             	2.8694             	0.5750             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 22:15:42	215.2000           	16.4000            	2.0260             	3.5293             	2.8924             	0.5730             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 22:15:43	215.2000           	30.7500            	3.5240             	6.6174             	5.6032             	0.5320             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 22:15:44	215.6000           	31.0100            	3.5680             	6.6858             	5.6569             	0.5330             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 22:15:45	215.7000           	27.8200            	3.2870             	6.0008             	5.0234             	0.5470             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 22:15:46	215.7000           	26.4800            	3.1660             	5.7117             	4.7551             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 22:15:48	215.8000           	28.0400            	3.3100             	6.0510             	5.0695             	0.5460             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 22:15:49	215.8000           	28.2400            	3.3280             	6.0942             	5.1056             	0.5460             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 22:15:50	215.7000           	28.1600            	3.3310             	6.0741             	5.0809             	0.5480             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 22:15:51	215.8000           	27.8300            	3.2940             	6.0057             	5.0236             	0.5480             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 22:15:52	215.6000           	27.5600            	3.2680             	5.9419             	4.9664             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 22:15:53	215.7000           	27.7200            	3.2870             	5.9792             	4.9976             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 22:15:54	215.8000           	27.5800            	3.2720             	5.9518             	4.9746             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 22:15:56	215.8000           	26.6700            	3.1800             	5.7554             	4.7991             	0.5520             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 22:15:57	215.8000           	13.8300            	1.7510             	2.9845             	2.4184             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 22:15:58	215.8000           	14.6400            	1.8330             	3.1593             	2.5759             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 22:15:59	215.8000           	14.7100            	1.8400             	3.1744             	2.5882             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-28 22:16:00	215.6000           	13.9200            	1.7510             	3.0012             	2.4384             	0.5830             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-01-28 22:16:01	215.7000           	13.8800            	1.7490             	2.9939             	2.4303             	0.5840             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-01-28 22:16:02	215.5000           	13.8900            	1.7500             	2.9933             	2.4298             	0.5840             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-28 22:16:03	215.6000           	13.9700            	1.7560             	3.0119             	2.4493             	0.5820             	59.9900            	0.0000             	0.0000             	0.0000             
22                 	2021-01-28 22:16:04	215.5000           	13.9300            	1.7550             	3.0019             	2.4368             	0.5840             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-01-28 22:16:05	215.6000           	13.9000            	1.7490             	2.9968             	2.4348             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
24                 	2021-01-28 22:16:06	215.5000           	25.0100            	3.0170             	5.3897             	4.4689             	0.5590             	59.9800            	0.0000             	0.0000             	0.0000             
25                 	2021-01-28 22:16:07	215.6000           	25.2200            	3.0400             	5.4374             	4.5085             	0.5590             	59.9800            	0.0000             	0.0000             	0.0000             
26                 	2021-01-28 22:16:09	215.6000           	26.6300            	3.1790             	5.7414             	4.7837             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
27                 	2021-01-28 22:16:10	215.6000           	28.4000            	3.3410             	6.1230             	5.1338             	0.5450             	59.9800            	0.0000             	0.0000             	0.0000             
28                 	2021-01-28 22:16:11	215.5000           	28.7800            	3.3820             	6.2021             	5.2041             	0.5440             	59.9800            	0.0000             	0.0000             	0.0000             
29                 	2021-01-28 22:16:12	215.6000           	28.2200            	3.3290             	6.0842             	5.0933             	0.5470             	59.9800            	0.0000             	0.0000             	0.0000             
30                 	2021-01-28 22:16:13	215.5000           	29.2100            	3.4040             	6.2948             	5.2981             	0.5400             	59.9800            	0.0000             	0.0000             	0.0000             
31                 	2021-01-28 22:16:14	215.6000           	28.4200            	3.3490             	6.1274             	5.1334             	0.5460             	59.9800            	0.0000             	0.0000             	0.0000             
32                 	2021-01-28 22:16:15	215.6000           	28.6600            	3.3630             	6.1791             	5.1848             	0.5440             	59.9800            	0.0000             	0.0000             	0.0000             
33                 	2021-01-28 22:16:16	215.6000           	28.5000            	3.3620             	6.1446             	5.1479             	0.5460             	59.9800            	0.0000             	0.0000             	0.0000             
34                 	2021-01-28 22:16:17	215.5000           	25.0300            	3.0320             	5.3940             	4.4615             	0.5620             	59.9800            	0.0000             	0.0000             	0.0000             
35                 	2021-01-28 22:16:18	215.7000           	25.2300            	3.0440             	5.4421             	4.5124             	0.5590             	59.9800            	0.0000             	0.0000             	0.0000             
36                 	2021-01-28 22:16:19	215.7000           	26.4000            	3.1460             	5.6945             	4.7483             	0.5520             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-01-28 22:16:20	215.9000           	26.2900            	3.1500             	5.6760             	4.7254             	0.5540             	59.9800            	0.0000             	0.0000             	0.0000             
38                 	2021-01-28 22:16:21	215.8000           	25.9400            	3.1130             	5.5979             	4.6566             	0.5550             	59.9800            	0.0000             	0.0000             	0.0000             
39                 	2021-01-28 22:16:23	215.9000           	26.3400            	3.1520             	5.6868             	4.7344             	0.5540             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-01-28 22:16:24	215.8000           	28.8500            	3.3770             	6.2258             	5.2321             	0.5420             	59.9900            	0.0000             	0.0000             	0.0000             
41                 	2021-01-28 22:16:25	215.8000           	30.3000            	3.5170             	6.5387             	5.5160             	0.5370             	59.9800            	0.0000             	0.0000             	0.0000             
42                 	2021-01-28 22:16:26	215.8000           	30.4400            	3.5040             	6.5690             	5.5581             	0.5330             	59.9800            	0.0000             	0.0000             	0.0000             
43                 	2021-01-28 22:16:27	215.7000           	28.1900            	3.3090             	6.0806             	5.1061             	0.5430             	59.9800            	0.0000             	0.0000             	0.0000             
44                 	2021-01-28 22:16:28	215.7000           	32.8600            	3.7520             	7.0879             	6.0149             	0.5290             	59.9800            	0.0000             	0.0000             	0.0000             
45                 	2021-01-28 22:16:29	215.7000           	31.0800            	3.5790             	6.7040             	5.6723             	0.5330             	59.9800            	0.0000             	0.0000             	0.0000             
46                 	2021-01-28 22:16:31	215.6000           	33.2800            	3.7780             	7.1752             	6.1024             	0.5260             	59.9800            	0.0000             	0.0000             	0.0000             
47                 	2021-01-28 22:16:32	215.6000           	30.7400            	3.5500             	6.6275             	5.5993             	0.5350             	59.9800            	0.0000             	0.0000             	0.0000             
48                 	2021-01-28 22:16:33	215.7000           	30.7800            	3.5460             	6.6392             	5.6134             	0.5340             	59.9800            	0.0000             	0.0000             	0.0000             
49                 	2021-01-28 22:16:34	215.8000           	27.9400            	3.2900             	6.0295             	5.0553             	0.5450             	59.9800            	0.0000             	0.0000             	0.0000             
50                 	2021-01-28 22:16:35	215.7000           	28.8800            	3.3750             	6.2294             	5.2391             	0.5410             	59.9900            	0.0000             	0.0000             	0.0000             
51                 	2021-01-28 22:16:36	215.8000           	29.2700            	3.4190             	6.3165             	5.3123             	0.5410             	60.0000            	0.0000             	0.0000             	0.0000             
52                 	2021-01-28 22:16:37	215.8000           	30.3600            	3.5060             	6.5517             	5.5352             	0.5350             	59.9900            	0.0000             	0.0000             	0.0000             
53                 	2021-01-28 22:16:38	215.8000           	28.7200            	3.3610             	6.1978             	5.2085             	0.5420             	59.9900            	0.0000             	0.0000             	0.0000             
54                 	2021-01-28 22:16:39	215.8000           	26.7800            	3.1920             	5.7791             	4.8189             	0.5520             	59.9900            	0.0000             	0.0000             	0.0000             
55                 	2021-01-28 22:16:41	215.7000           	29.5400            	3.4400             	6.3718             	5.3670             	0.5390             	60.0000            	0.0000             	0.0000             	0.0000             
56                 	2021-01-28 22:16:42	215.8000           	30.8800            	3.5560             	6.6639             	5.6384             	0.5330             	60.0000            	0.0000             	0.0000             	0.0000             
