No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 21:31:04	216.6000           	13.3300            	1.6890             	2.8873             	2.3438             	0.5840             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 21:31:05	216.6000           	13.2900            	1.6830             	2.8786             	2.3367             	0.5840             	60.0400            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 21:31:06	216.6000           	13.3000            	1.6870             	2.8808             	2.3364             	0.5850             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 21:31:07	216.6000           	13.2600            	1.6810             	2.8721             	2.3273             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 21:31:09	216.7000           	13.2900            	1.6860             	2.8799             	2.3357             	0.5850             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 21:31:10	216.7000           	13.2700            	1.6830             	2.8756             	2.3322             	0.5850             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 21:31:11	216.7000           	13.3400            	1.6910             	2.8908             	2.3466             	0.5840             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 21:31:12	216.7000           	13.2900            	1.6830             	2.8799             	2.3378             	0.5840             	60.0200            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 21:31:13	216.8000           	13.1500            	1.6830             	2.8509             	2.3018             	0.5900             	60.0200            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 21:31:14	216.5000           	13.2000            	1.6820             	2.8578             	2.3116             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 21:31:15	216.7000           	13.6000            	1.7370             	2.9471             	2.3817             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 21:31:16	216.6000           	13.1500            	1.6860             	2.8483             	2.2976             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 21:31:17	216.4000           	13.1900            	1.6840             	2.8543             	2.3067             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 21:31:19	216.4000           	13.2600            	1.6850             	2.8695             	2.3231             	0.5870             	60.0400            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 21:31:20	216.4000           	13.3000            	1.6880             	2.8781             	2.3322             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 21:31:21	216.3000           	13.2600            	1.6840             	2.8681             	2.3241             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 21:31:22	216.3000           	13.2800            	1.6850             	2.8725             	2.3276             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
18                 	2021-01-28 21:31:23	216.2000           	13.3300            	1.6890             	2.8819             	2.3353             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
19                 	2021-01-28 21:31:24	216.1000           	13.3200            	1.6910             	2.8785             	2.3304             	0.5870             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-01-28 21:31:25	216.0000           	13.3500            	1.6900             	2.8836             	2.3387             	0.5850             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-01-28 21:31:26	216.1000           	13.3700            	1.6900             	2.8893             	2.3454             	0.5840             	60.0100            	0.0000             	0.0000             	0.0000             
22                 	2021-01-28 21:31:27	216.0000           	14.4800            	1.7900             	3.1277             	2.5655             	0.5720             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-01-28 21:31:29	216.0000           	13.4000            	1.6840             	2.8944             	2.3558             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
24                 	2021-01-28 21:31:30	216.0000           	13.4300            	1.6910             	2.9009             	2.3590             	0.5820             	59.9900            	0.0000             	0.0000             	0.0000             
25                 	2021-01-28 21:31:31	216.0000           	13.4800            	1.6900             	2.9117             	2.3719             	0.5800             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-28 21:31:32	215.9000           	13.3800            	1.6850             	2.8887             	2.3470             	0.5830             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-01-28 21:31:33	216.1000           	13.4600            	1.6980             	2.9087             	2.3632             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
