No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-28 21:52:10	217.0000           	16.4100            	2.1260             	3.5610             	2.8568             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-28 21:52:11	216.8000           	16.5000            	2.1280             	3.5772             	2.8777             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
3                  	2021-01-28 21:52:12	216.8000           	16.3700            	2.1280             	3.5490             	2.8419             	0.5990             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-28 21:52:14	216.7000           	16.2600            	2.1060             	3.5235             	2.8267             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-01-28 21:52:15	216.6000           	16.4100            	2.1280             	3.5544             	2.8488             	0.5980             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-01-28 21:52:16	216.6000           	16.4500            	2.1300             	3.5631             	2.8584             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-01-28 21:52:17	216.6000           	22.4400            	2.6230             	4.8605             	4.0940             	0.5390             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-28 21:52:18	216.6000           	33.4200            	3.8470             	7.2388             	6.1339             	0.5310             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-28 21:52:19	216.5000           	29.5300            	3.4840             	6.3932             	5.3645             	0.5440             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-01-28 21:52:20	216.5000           	27.7100            	3.3530             	5.9992             	4.9784             	0.5580             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-01-28 21:52:21	216.5000           	27.7800            	3.3520             	6.0144             	4.9950             	0.5570             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-28 21:52:22	216.5000           	28.3300            	3.4080             	6.1334             	5.1021             	0.5550             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-01-28 21:52:23	216.6000           	28.0700            	3.3770             	6.0800             	5.0576             	0.5550             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-01-28 21:52:24	216.9000           	27.7100            	3.3660             	6.0103             	4.9835             	0.5590             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-28 21:52:26	216.9000           	27.4900            	3.3480             	5.9626             	4.9359             	0.5610             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-01-28 21:52:27	216.9000           	27.4600            	3.3360             	5.9561             	4.9386             	0.5590             	60.0100            	0.0000             	0.0000             	0.0000             
17                 	2021-01-28 21:52:28	217.1000           	26.9700            	3.2910             	5.8552             	4.8470             	0.5610             	60.0100            	0.0000             	0.0000             	0.0000             
