No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-25 16:01:58	216.7000           	29.0100            	3.6690             	6.2865             	5.1076             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-25 16:01:59	216.7000           	28.2600            	3.5750             	6.1239             	4.9755             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
3                  	2021-01-25 16:02:00	216.8000           	29.3500            	3.6680             	6.3631             	5.2015             	0.5760             	59.9900            	0.0000             	0.0000             	0.0000             
4                  	2021-01-25 16:02:01	216.7000           	38.7500            	4.6240             	8.3971             	7.0130             	0.5500             	59.9900            	0.0000             	0.0000             	0.0000             
5                  	2021-01-25 16:02:02	216.9000           	29.3500            	3.6870             	6.3660             	5.1904             	0.5790             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-25 16:02:04	216.5000           	26.5300            	3.3850             	5.7437             	4.6459             	0.5880             	59.9900            	0.0000             	0.0000             	0.0000             
7                  	2021-01-25 16:02:05	216.7000           	27.3200            	3.4480             	5.9202             	4.8143             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-25 16:02:06	216.8000           	31.9200            	3.9060             	6.9203             	5.7146             	0.5640             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-01-25 16:02:07	216.8000           	26.1400            	3.3490             	5.6672             	4.5757             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-01-25 16:02:08	216.9000           	27.3600            	3.4530             	5.9344             	4.8300             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-01-25 16:02:09	217.1000           	26.5100            	3.3780             	5.7553             	4.6636             	0.5860             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-25 16:02:10	217.1000           	26.3800            	3.3590             	5.7271             	4.6407             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-01-25 16:02:12	217.0000           	27.5300            	3.4760             	5.9740             	4.8623             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-25 16:02:13	216.9000           	16.9600            	2.1690             	3.6786             	2.9728             	0.5890             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-25 16:02:14	217.0000           	26.0200            	3.3210             	5.6463             	4.5671             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-01-25 16:02:15	217.0000           	41.1800            	4.9490             	8.9361             	7.4454             	0.5530             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-25 16:02:16	217.2000           	41.1900            	4.9530             	8.9465             	7.4540             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
18                 	2021-01-25 16:02:17	216.7000           	41.6400            	4.9620             	9.0234             	7.5419             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
19                 	2021-01-25 16:02:18	216.9000           	41.7100            	4.9790             	9.0469             	7.5557             	0.5500             	60.0100            	0.0000             	0.0000             	0.0000             
20                 	2021-01-25 16:02:19	216.8000           	41.5400            	4.9530             	9.0059             	7.5273             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-01-25 16:02:20	216.8000           	41.7000            	4.9720             	9.0406             	7.5563             	0.5490             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-01-25 16:02:21	216.9000           	33.4200            	4.1150             	7.2488             	5.9710             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-01-25 16:02:22	216.8000           	26.7100            	3.3880             	5.7907             	4.7006             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
