No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:11:30	215.0000           	26.5900            	3.3530             	5.7168             	4.6324             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:11:31	215.0000           	26.5200            	3.3550             	5.7018             	4.6120             	0.5880             	59.9900            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:11:33	215.1000           	26.5200            	3.3550             	5.7045             	4.6182             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:11:34	214.9000           	26.5400            	3.3520             	5.7034             	4.6174             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:11:35	214.9000           	26.5800            	3.3540             	5.7120             	4.6244             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:11:36	214.9000           	26.5000            	3.3480             	5.6948             	4.6105             	0.5870             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:11:37	215.0000           	26.5700            	3.3510             	5.7126             	4.6289             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:11:38	214.8000           	26.5600            	3.3450             	5.7051             	4.6229             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:11:39	215.0000           	26.5300            	3.3500             	5.7040             	4.6178             	0.5870             	59.9800            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:11:40	214.9000           	26.6600            	3.3420             	5.7292             	4.6548             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:11:41	214.8000           	26.5900            	3.3420             	5.7115             	4.6364             	0.5840             	59.9800            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 13:11:42	215.0000           	26.6500            	3.3490             	5.7298             	4.6511             	0.5840             	59.9800            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 13:11:43	215.1000           	26.4800            	3.3520             	5.6958             	4.6071             	0.5880             	59.9900            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 13:11:45	215.0000           	26.5400            	3.3490             	5.7061             	4.6237             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 13:11:46	215.1000           	28.3600            	3.5430             	6.1002             	4.9694             	0.5800             	59.9800            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 13:11:47	215.1000           	26.6800            	3.3500             	5.7389             	4.6627             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 13:11:48	215.2000           	26.7400            	3.3530             	5.7544             	4.6795             	0.5820             	59.9800            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 13:11:49	215.1000           	26.6500            	3.3500             	5.7324             	4.6533             	0.5840             	59.9800            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 13:11:50	215.1000           	27.8700            	3.4760             	5.9948             	4.8878             	0.5790             	59.9800            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 13:11:51	215.2000           	26.5800            	3.3520             	5.7200             	4.6391             	0.5850             	59.9700            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 13:11:52	215.3000           	26.4700            	3.3480             	5.6990             	4.6138             	0.5870             	59.9700            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 13:11:53	215.0000           	26.4500            	3.3480             	5.6867             	4.5998             	0.5880             	59.9800            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 13:11:54	215.1000           	26.4400            	3.3450             	5.6872             	4.6002             	0.5880             	59.9700            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 13:11:56	215.0000           	26.4100            	3.3470             	5.6781             	4.5887             	0.5890             	59.9700            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 13:11:57	215.0000           	26.4600            	3.3430             	5.6889             	4.6057             	0.5870             	59.9700            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 13:11:58	214.8000           	26.5500            	3.3360             	5.7029             	4.6253             	0.5850             	59.9700            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 13:11:59	214.8000           	26.3700            	3.3230             	5.6643             	4.5898             	0.5860             	59.9600            	0.0000             	0.0000             	0.0000             
28                 	2021-01-29 13:12:00	215.0000           	26.4200            	3.3490             	5.6803             	4.5904             	0.5890             	59.9600            	0.0000             	0.0000             	0.0000             
29                 	2021-01-29 13:12:01	215.2000           	26.4800            	3.3540             	5.6985             	4.6093             	0.5880             	59.9700            	0.0000             	0.0000             	0.0000             
30                 	2021-01-29 13:12:02	215.1000           	26.5900            	3.3550             	5.7195             	4.6346             	0.5860             	59.9700            	0.0000             	0.0000             	0.0000             
31                 	2021-01-29 13:12:04	215.1000           	26.5500            	3.3530             	5.7109             	4.6235             	0.5870             	59.9700            	0.0000             	0.0000             	0.0000             
32                 	2021-01-29 13:12:05	215.2000           	26.5600            	3.3550             	5.7157             	4.6315             	0.5860             	59.9700            	0.0000             	0.0000             	0.0000             
33                 	2021-01-29 13:12:06	215.0000           	26.6100            	3.3590             	5.7211             	4.6318             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
34                 	2021-01-29 13:12:07	214.9000           	26.6400            	3.3590             	5.7249             	4.6390             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
35                 	2021-01-29 13:12:08	215.1000           	26.7300            	3.3620             	5.7496             	4.6673             	0.5840             	59.9700            	0.0000             	0.0000             	0.0000             
36                 	2021-01-29 13:12:09	215.3000           	26.7300            	3.3550             	5.7550             	4.6799             	0.5820             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-01-29 13:12:10	215.2000           	26.6600            	3.3510             	5.7372             	4.6613             	0.5830             	59.9700            	0.0000             	0.0000             	0.0000             
38                 	2021-01-29 13:12:11	215.2000           	26.5900            	3.3450             	5.7222             	4.6450             	0.5840             	59.9700            	0.0000             	0.0000             	0.0000             
39                 	2021-01-29 13:12:12	215.2000           	26.6400            	3.3430             	5.7329             	4.6578             	0.5830             	59.9700            	0.0000             	0.0000             	0.0000             
40                 	2021-01-29 13:12:13	215.1000           	26.7100            	3.3450             	5.7453             	4.6720             	0.5820             	59.9700            	0.0000             	0.0000             	0.0000             
41                 	2021-01-29 13:12:14	215.2000           	26.7300            	3.3490             	5.7523             	4.6818             	0.5810             	59.9700            	0.0000             	0.0000             	0.0000             
42                 	2021-01-29 13:12:16	215.2000           	26.7400            	3.3610             	5.7544             	4.6753             	0.5830             	59.9700            	0.0000             	0.0000             	0.0000             
43                 	2021-01-29 13:12:17	215.3000           	26.8100            	3.3580             	5.7722             	4.6980             	0.5810             	59.9700            	0.0000             	0.0000             	0.0000             
44                 	2021-01-29 13:12:18	215.3000           	26.7400            	3.3570             	5.7571             	4.6816             	0.5820             	59.9500            	0.0000             	0.0000             	0.0000             
45                 	2021-01-29 13:12:19	215.3000           	26.7200            	3.3520             	5.7528             	4.6781             	0.5820             	59.9700            	0.0000             	0.0000             	0.0000             
46                 	2021-01-29 13:12:20	215.3000           	26.7900            	3.3580             	5.7679             	4.6904             	0.5820             	59.9700            	0.0000             	0.0000             	0.0000             
47                 	2021-01-29 13:12:21	215.2000           	26.8400            	3.3560             	5.7760             	4.7052             	0.5800             	59.9600            	0.0000             	0.0000             	0.0000             
48                 	2021-01-29 13:12:23	215.2000           	26.7600            	3.3590             	5.7588             	4.6788             	0.5830             	59.9600            	0.0000             	0.0000             	0.0000             
49                 	2021-01-29 13:12:24	215.2000           	26.7500            	3.3530             	5.7566             	4.6812             	0.5820             	59.9600            	0.0000             	0.0000             	0.0000             
50                 	2021-01-29 13:12:25	215.2000           	26.7500            	3.3570             	5.7566             	4.6771             	0.5830             	59.9600            	0.0000             	0.0000             	0.0000             
51                 	2021-01-29 13:12:26	215.1000           	26.6700            	3.3480             	5.7367             	4.6609             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
52                 	2021-01-29 13:12:27	215.2000           	26.4100            	3.3340             	5.6834             	4.6053             	0.5860             	59.9600            	0.0000             	0.0000             	0.0000             
53                 	2021-01-29 13:12:28	215.3000           	26.5400            	3.3490             	5.7141             	4.6302             	0.5860             	59.9700            	0.0000             	0.0000             	0.0000             
54                 	2021-01-29 13:12:29	215.4000           	26.5800            	3.3510             	5.7253             	4.6434             	0.5850             	59.9600            	0.0000             	0.0000             	0.0000             
55                 	2021-01-29 13:12:30	215.4000           	26.4800            	3.3530             	5.7038             	4.6177             	0.5870             	59.9700            	0.0000             	0.0000             	0.0000             
56                 	2021-01-29 13:12:31	215.4000           	26.5200            	3.3490             	5.7124             	4.6288             	0.5860             	59.9600            	0.0000             	0.0000             	0.0000             
