No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:19:28	216.2000           	27.9400            	3.5060             	6.0406             	4.9208             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:19:29	216.3000           	40.2600            	4.8870             	8.7082             	7.2088             	0.5610             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:19:30	216.2000           	42.3700            	5.1130             	9.1604             	7.6017             	0.5580             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:19:31	216.2000           	27.9500            	3.4940             	6.0428             	4.9311             	0.5780             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:19:32	216.2000           	26.7500            	3.3680             	5.7833             	4.7030             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:19:33	216.2000           	27.7500            	3.4870             	5.9996             	4.8831             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:19:34	216.3000           	27.0200            	4.0070             	5.8444             	4.8182             	0.5660             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:19:35	216.3000           	27.7800            	3.3690             	6.0088             	4.8992             	0.5790             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:19:36	216.1000           	27.8400            	3.4700             	6.0162             	4.9180             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:19:37	216.1000           	26.7500            	3.3590             	5.7807             	4.7090             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:19:38	216.1000           	27.8400            	3.4660             	6.0162             	4.9222             	0.5750             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 13:19:40	216.2000           	26.7400            	3.3630             	5.7812             	4.7053             	0.5810             	59.9800            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 13:19:41	216.1000           	26.5700            	3.3410             	5.7418             	4.6733             	0.5810             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 13:19:42	216.1000           	35.5200            	4.3340             	7.6759             	6.3385             	0.5640             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 13:19:43	216.1000           	37.0300            	4.5600             	8.0022             	6.5805             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 13:19:44	216.1000           	36.9800            	4.5550             	7.9914             	6.5716             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 13:19:45	216.1000           	37.0300            	4.5620             	8.0022             	6.5750             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 13:19:46	216.1000           	37.6200            	4.6260             	8.1297             	6.6910             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 13:19:47	216.1000           	37.4000            	4.6070             	8.0821             	6.6462             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 13:19:49	215.9000           	36.9800            	4.5620             	7.9840             	6.5545             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 13:19:50	216.0000           	36.9500            	4.5600             	7.9812             	6.5522             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 13:19:51	215.9000           	32.7400            	4.0980             	7.0686             	5.7632             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 13:19:52	216.0000           	26.6300            	3.3760             	5.7521             	4.6610             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 13:19:53	216.0000           	27.3700            	3.4460             	5.9119             	4.8075             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 13:19:54	216.1000           	26.6400            	3.3750             	5.7569             	4.6649             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 13:19:55	216.0000           	26.5800            	3.3710             	5.7413             	4.6522             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 13:19:56	216.0000           	27.6600            	3.4660             	5.9746             	4.8670             	0.5800             	59.9900            	0.0000             	0.0000             	0.0000             
28                 	2021-01-29 13:19:58	216.0000           	26.7300            	3.3760             	5.7737             	4.6868             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
