No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:24:53	214.2000           	27.7300            	3.5020             	5.9398             	4.8001             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:24:54	214.1000           	39.9800            	4.8940             	8.5597             	7.0271             	0.5710             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:24:55	214.2000           	28.4100            	3.5840             	6.0854             	4.9223             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:24:56	214.4000           	29.1600            	3.6340             	6.2519             	5.0884             	0.5810             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:24:57	214.3000           	27.4400            	3.4380             	5.8804             	4.7734             	0.5840             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:24:58	214.3000           	32.5000            	4.0080             	6.9648             	5.6982             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:25:00	214.2000           	26.6000            	3.3720             	5.6977             	4.5962             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:25:01	214.0000           	26.7300            	3.3710             	5.7202             	4.6227             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:25:02	213.7000           	26.7100            	3.3610             	5.7079             	4.6169             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:25:03	213.9000           	26.6600            	3.3600             	5.7026             	4.6084             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:25:04	213.9000           	28.8500            	3.5930             	6.1710             	5.0182             	0.5820             	60.0200            	0.0000             	0.0000             	0.0000             
