No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:30:02	214.8000           	27.9300            	3.5180             	5.9994             	4.8614             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:30:03	214.8000           	40.2300            	4.9110             	8.6414             	7.1121             	0.5680             	59.9800            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:30:04	214.8000           	28.5500            	3.5850             	6.1325             	4.9781             	0.5840             	59.9800            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:30:05	214.7000           	28.3700            	3.5450             	6.0910             	4.9532             	0.5820             	59.9800            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:30:06	214.6000           	27.0600            	3.3900             	5.8071             	4.7181             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:30:08	214.6000           	27.7100            	3.4550             	5.9466             	4.8442             	0.5800             	59.9900            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:30:09	214.6000           	28.5100            	3.5430             	6.1182             	4.9927             	0.5780             	59.9900            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:30:10	214.5000           	26.7800            	3.3590             	5.7443             	4.6630             	0.5840             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:30:11	214.5000           	26.8200            	3.3600             	5.7529             	4.6741             	0.5830             	59.9900            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:30:12	214.7000           	26.8400            	3.3600             	5.7625             	4.6860             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:30:13	214.6000           	26.8200            	3.3610             	5.7556             	4.6762             	0.5830             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 13:30:14	214.6000           	28.5700            	3.5560             	6.1311             	4.9989             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 13:30:15	214.6000           	26.6100            	3.3530             	5.7105             	4.6232             	0.5870             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 13:30:16	214.4000           	36.8400            	4.5570             	7.8985             	6.4566             	0.5760             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 13:30:18	214.5000           	36.8700            	4.5660             	7.9086             	6.4593             	0.5770             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 13:30:19	214.3000           	37.0200            	4.5650             	7.9334             	6.4907             	0.5750             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 13:30:20	214.3000           	36.9500            	4.5630             	7.9184             	6.4729             	0.5760             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 13:30:21	214.6000           	37.0600            	4.5640             	7.9531             	6.5180             	0.5730             	59.9800            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 13:30:22	214.5000           	36.9300            	4.5540             	7.9215             	6.4865             	0.5740             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 13:30:23	214.4000           	36.8100            	4.5610             	7.8921             	6.4458             	0.5770             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 13:30:24	214.6000           	37.0800            	4.5760             	7.9574             	6.5159             	0.5740             	59.9900            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 13:30:25	214.7000           	37.0100            	4.5640             	7.9460             	6.5067             	0.5740             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 13:30:26	214.6000           	33.2000            	4.1260             	7.1247             	5.8140             	0.5780             	59.9900            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 13:30:27	214.7000           	26.9600            	3.3740             	5.7883             	4.7070             	0.5820             	59.9900            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 13:30:28	214.7000           	26.7100            	3.3600             	5.7346             	4.6510             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 13:30:29	214.7000           	26.6800            	3.3700             	5.7282             	4.6333             	0.5880             	59.9800            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 13:30:31	214.5000           	26.8000            	3.3730             	5.7486             	4.6582             	0.5860             	59.9800            	0.0000             	0.0000             	0.0000             
