No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:07:55	215.1000           	13.3700            	1.5660             	2.8759             	2.4131             	0.5440             	59.9800            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:07:56	215.0000           	12.7100            	1.5010             	2.7327             	2.2840             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:07:57	215.0000           	12.6900            	1.5020             	2.7283             	2.2786             	0.5500             	59.9800            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:07:58	215.1000           	12.6300            	1.4950             	2.7167             	2.2689             	0.5500             	59.9800            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:07:59	215.0000           	12.7200            	1.5070             	2.7348             	2.2840             	0.5500             	59.9800            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:08:00	215.0000           	12.5700            	1.4870             	2.7026             	2.2589             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:08:01	214.9000           	12.6700            	1.4980             	2.7228             	2.2740             	0.5500             	59.9800            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:08:03	214.3000           	12.6500            	1.5000             	2.7109             	2.2587             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:08:04	214.5000           	12.6000            	1.4930             	2.7027             	2.2536             	0.5520             	59.9800            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:08:05	214.7000           	13.2900            	1.5680             	2.8534             	2.3849             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:08:06	214.4000           	12.5300            	1.4850             	2.6864             	2.2401             	0.5520             	59.9800            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 13:08:07	214.2000           	12.6000            	1.4930             	2.6989             	2.2487             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 13:08:08	214.3000           	12.6700            	1.5030             	2.7152             	2.2622             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 13:08:09	214.2000           	12.6300            	1.4980             	2.7053             	2.2540             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 13:08:10	214.3000           	12.6500            	1.5010             	2.7109             	2.2587             	0.5530             	59.9700            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 13:08:12	214.2000           	12.6200            	1.4910             	2.7032             	2.2558             	0.5510             	59.9800            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 13:08:13	214.4000           	12.6200            	1.4950             	2.7057             	2.2562             	0.5520             	59.9800            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 13:08:14	214.5000           	12.6100            	1.4900             	2.7048             	2.2590             	0.5500             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 13:08:15	214.7000           	12.6200            	1.4910             	2.7095             	2.2629             	0.5500             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 13:08:16	214.9000           	12.6000            	1.4940             	2.7077             	2.2596             	0.5510             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 13:08:17	215.0000           	12.7000            	1.4990             	2.7305             	2.2840             	0.5480             	59.9700            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 13:08:18	214.9000           	12.7100            	1.5010             	2.7314             	2.2829             	0.5490             	60.0100            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 13:08:19	214.8000           	12.6300            	1.4950             	2.7129             	2.2657             	0.5500             	60.0100            	0.0000             	0.0000             	0.0000             
