No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-25 16:22:53	216.9000           	29.5100            	3.6620             	6.4007             	5.2502             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-25 16:22:54	216.8000           	29.4400            	3.6700             	6.3826             	5.2264             	0.5740             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-01-25 16:22:55	217.0000           	29.7800            	3.6650             	6.4623             	5.3231             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-25 16:22:56	216.9000           	28.3200            	3.5360             	6.1426             	5.0256             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-01-25 16:22:57	216.9000           	27.6100            	3.4400             	5.9886             	4.9038             	0.5740             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-01-25 16:22:58	217.1000           	26.9500            	3.3880             	5.8508             	4.7745             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-01-25 16:22:59	216.9000           	26.8200            	3.3580             	5.8173             	4.7512             	0.5770             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-25 16:23:00	217.0000           	27.8800            	3.4590             	6.0500             	4.9667             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-01-25 16:23:02	217.0000           	26.7300            	3.3520             	5.8004             	4.7375             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-25 16:23:03	217.3000           	27.9800            	3.4580             	6.0801             	5.0041             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-01-25 16:23:04	217.3000           	27.6600            	3.4460             	6.0105             	4.9260             	0.5730             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-01-25 16:23:05	217.3000           	27.7100            	3.4650             	6.0214             	4.9264             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-01-25 16:23:06	217.3000           	26.6400            	3.3760             	5.7889             	4.7074             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-25 16:23:07	217.3000           	28.9800            	3.5490             	6.2974             	5.2045             	0.5630             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-25 16:23:08	217.0000           	42.6200            	4.9960             	9.2485             	7.7842             	0.5400             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-01-25 16:23:09	217.1000           	45.0800            	5.2200             	9.7869             	8.2808             	0.5330             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-01-25 16:23:10	217.0000           	42.3700            	4.9700             	9.1943             	7.7385             	0.5400             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2021-01-25 16:23:12	217.0000           	42.0600            	4.9520             	9.1270             	7.6702             	0.5420             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-01-25 16:23:13	217.0000           	41.9800            	4.9600             	9.1097             	7.6438             	0.5440             	60.0000            	0.0000             	0.0000             	0.0000             
20                 	2021-01-25 16:23:14	217.0000           	44.1600            	5.1640             	9.5827             	8.0777             	0.5380             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2021-01-25 16:23:15	216.9000           	33.4600            	4.1020             	7.2575             	5.9930             	0.5640             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-01-25 16:23:16	217.0000           	26.7200            	3.3640             	5.7982             	4.7275             	0.5790             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-01-25 16:23:17	217.1000           	27.8800            	3.4640             	6.0527             	4.9648             	0.5720             	59.9900            	0.0000             	0.0000             	0.0000             
24                 	2021-01-25 16:23:18	217.1000           	27.7000            	3.4560             	6.0137             	4.9243             	0.5740             	59.9900            	0.0000             	0.0000             	0.0000             
25                 	2021-01-25 16:23:19	217.3000           	27.7300            	3.4710             	6.0257             	4.9300             	0.5750             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-25 16:23:20	217.3000           	27.8500            	3.4560             	6.0518             	4.9682             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-01-25 16:23:21	217.2000           	26.5100            	3.3580             	5.7580             	4.6782             	0.5830             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-01-25 16:23:23	217.2000           	33.5700            	4.0490             	7.2914             	6.0654             	0.5550             	60.0100            	0.0000             	0.0000             	0.0000             
29                 	2021-01-25 16:23:24	217.2000           	26.5800            	3.3580             	5.7732             	4.6988             	0.5810             	60.0300            	0.0000             	0.0000             	0.0000             
30                 	2021-01-25 16:23:25	217.3000           	26.5400            	3.3570             	5.7671             	4.6939             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
31                 	2021-01-25 16:23:26	217.3000           	21.9600            	2.7680             	4.7719             	3.8907             	0.5790             	60.0100            	0.0000             	0.0000             	0.0000             
32                 	2021-01-25 16:23:27	217.3000           	26.8500            	3.3790             	5.8345             	4.7570             	0.5790             	60.0200            	0.0000             	0.0000             	0.0000             
33                 	2021-01-25 16:23:28	217.3000           	42.1600            	4.9520             	9.1614             	7.7108             	0.5400             	60.0200            	0.0000             	0.0000             	0.0000             
34                 	2021-01-25 16:23:29	217.5000           	42.2200            	4.9660             	9.1829             	7.7289             	0.5400             	60.0200            	0.0000             	0.0000             	0.0000             
35                 	2021-01-25 16:23:30	217.8000           	41.9400            	4.9680             	9.1345             	7.6706             	0.5430             	60.0200            	0.0000             	0.0000             	0.0000             
36                 	2021-01-25 16:23:32	217.5000           	41.6200            	4.9370             	9.0523             	7.5898             	0.5450             	60.0200            	0.0000             	0.0000             	0.0000             
37                 	2021-01-25 16:23:33	217.5000           	41.8700            	4.9540             	9.1067             	7.6472             	0.5430             	60.0200            	0.0000             	0.0000             	0.0000             
38                 	2021-01-25 16:23:34	217.7000           	42.9600            	5.0440             	9.3524             	7.8776             	0.5390             	60.0100            	0.0000             	0.0000             	0.0000             
39                 	2021-01-25 16:23:35	217.8000           	29.0800            	3.6110             	6.3336             	5.2040             	0.5700             	60.0200            	0.0000             	0.0000             	0.0000             
40                 	2021-01-25 16:23:36	217.7000           	27.9400            	3.4870             	6.0825             	4.9850             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
41                 	2021-01-25 16:23:38	217.8000           	26.7400            	3.3610             	5.8240             	4.7567             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
42                 	2021-01-25 16:23:39	217.7000           	26.6500            	3.3560             	5.8017             	4.7344             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
43                 	2021-01-25 16:23:40	217.7000           	27.9400            	3.4600             	6.0825             	5.0061             	0.5680             	60.0300            	0.0000             	0.0000             	0.0000             
44                 	2021-01-25 16:23:41	217.7000           	28.1200            	3.4990             	6.1217             	5.0256             	0.5710             	60.0200            	0.0000             	0.0000             	0.0000             
45                 	2021-01-25 16:23:42	217.5000           	27.7100            	3.4630             	6.0269             	4.9352             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
46                 	2021-01-25 16:23:43	217.6000           	27.1600            	3.4140             	5.9100             	4.8270             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
47                 	2021-01-25 16:23:45	217.5000           	26.5800            	3.3660             	5.7812             	4.7012             	0.5820             	60.0200            	0.0000             	0.0000             	0.0000             
48                 	2021-01-25 16:23:46	217.5000           	26.3800            	3.3410             	5.7377             	4.6658             	0.5820             	60.0400            	0.0000             	0.0000             	0.0000             
49                 	2021-01-25 16:23:47	217.5000           	41.1400            	4.8630             	8.9480             	7.5139             	0.5430             	60.0400            	0.0000             	0.0000             	0.0000             
