No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ $ ]          
1                  	2021-02-08 20:20:59	213.1000           	19.0500            	2.2970             	4.0596             	3.3495             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-02-08 20:21:00	213.1000           	19.8400            	2.3980             	4.2279             	3.4826             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-02-08 20:21:01	213.0000           	19.0500            	2.2990             	4.0577             	3.3451             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-02-08 20:21:02	212.9000           	19.0500            	2.3010             	4.0557             	3.3436             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-02-08 20:21:03	213.0000           	19.0700            	2.2990             	4.0619             	3.3514             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-08 20:21:04	212.9000           	19.1000            	2.3000             	4.0664             	3.3551             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-08 20:21:05	212.9000           	18.0400            	2.1620             	3.8407             	3.1768             	0.5620             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-02-08 20:21:06	212.9000           	17.9900            	2.1640             	3.8301             	3.1628             	0.5640             	60.0200            	0.0000             	0.0000             	0.0000             
9                  	2021-02-08 20:21:08	212.9000           	17.9700            	2.1640             	3.8258             	3.1566             	0.5650             	60.0200            	0.0000             	0.0000             	0.0000             
10                 	2021-02-08 20:21:09	212.9000           	18.0500            	2.1660             	3.8428             	3.1759             	0.5630             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-02-08 20:21:10	212.9000           	18.0500            	2.1640             	3.8428             	3.1786             	0.5620             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2021-02-08 20:21:11	213.0000           	18.0200            	2.1630             	3.8383             	3.1722             	0.5630             	60.0200            	0.0000             	0.0000             	0.0000             
13                 	2021-02-08 20:21:12	212.9000           	18.0500            	2.1670             	3.8428             	3.1759             	0.5630             	60.0200            	0.0000             	0.0000             	0.0000             
