No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ $ ]          
1                  	2021-02-08 19:40:19	216.5000           	17.2100            	2.1150             	3.7260             	3.0691             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-02-08 19:40:20	216.5000           	17.3800            	2.1390             	3.7628             	3.0969             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-02-08 19:40:21	216.7000           	17.2300            	2.1160             	3.7337             	3.0781             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2021-02-08 19:40:22	216.8000           	17.2000            	2.1160             	3.7290             	3.0716             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-02-08 19:40:23	216.8000           	25.9500            	3.2080             	5.6260             	4.6225             	0.5700             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-08 19:40:24	216.7000           	19.5900            	2.4180             	4.2452             	3.4909             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-08 19:40:25	216.7000           	18.1800            	2.2330             	3.9396             	3.2478             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-02-08 19:40:26	216.8000           	18.6000            	2.2830             	4.0325             	3.3272             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-02-08 19:40:28	216.7000           	22.8900            	2.4700             	4.9603             	4.0927             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-02-08 19:40:29	216.7000           	19.6200            	2.4120             	4.2517             	3.5022             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-02-08 19:40:30	216.6000           	19.2800            	2.3670             	4.1760             	3.4428             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-02-08 19:40:31	216.6000           	19.1400            	2.3570             	4.1457             	3.4120             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-02-08 19:40:32	216.6000           	19.1900            	2.3610             	4.1566             	3.4238             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2021-02-08 19:40:33	216.6000           	19.1500            	2.3570             	4.1479             	3.4167             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2021-02-08 19:40:34	216.5000           	25.2800            	3.1130             	5.4731             	4.5045             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2021-02-08 19:40:35	216.4000           	17.5100            	2.1430             	3.7892             	3.1264             	0.5650             	59.9900            	0.0000             	0.0000             	0.0000             
17                 	2021-02-08 19:40:36	216.5000           	22.5600            	2.7470             	4.8842             	4.0399             	0.5620             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-02-08 19:40:38	216.6000           	17.2800            	2.1180             	3.7428             	3.0882             	0.5650             	60.0000            	0.0000             	0.0000             	0.0000             
19                 	2021-02-08 19:40:39	216.7000           	17.2100            	2.1140             	3.7294             	3.0745             	0.5660             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-02-08 19:40:40	216.6000           	17.2100            	2.1170             	3.7277             	3.0706             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-02-08 19:40:41	216.6000           	17.1600            	2.1150             	3.7169             	3.0591             	0.5680             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-02-08 19:40:42	216.7000           	17.1600            	2.1130             	3.7186             	3.0605             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-02-08 19:40:43	216.6000           	17.0500            	2.1070             	3.6930             	3.0344             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
24                 	2021-02-08 19:40:44	216.5000           	17.1200            	2.1100             	3.7065             	3.0505             	0.5680             	59.9900            	0.0000             	0.0000             	0.0000             
25                 	2021-02-08 19:40:45	216.7000           	18.4500            	2.2770             	3.9981             	3.2878             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-02-08 19:40:46	216.8000           	17.0400            	2.0950             	3.6943             	3.0430             	0.5670             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-02-08 19:40:47	217.0000           	17.1600            	2.1250             	3.7237             	3.0596             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
28                 	2021-02-08 19:40:49	217.0000           	21.5100            	2.6430             	4.6677             	3.8481             	0.5660             	60.0000            	0.0000             	0.0000             	0.0000             
29                 	2021-02-08 19:40:50	217.0000           	24.8400            	3.0780             	5.3903             	4.4252             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
30                 	2021-02-08 19:40:51	217.0000           	24.8400            	3.0810             	5.3903             	4.4252             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
31                 	2021-02-08 19:40:52	216.8000           	24.7700            	3.0760             	5.3701             	4.4049             	0.5720             	60.0000            	0.0000             	0.0000             	0.0000             
32                 	2021-02-08 19:40:53	216.9000           	24.9100            	3.0900             	5.4030             	4.4356             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
33                 	2021-02-08 19:40:54	216.9000           	24.9200            	3.0920             	5.4051             	4.4374             	0.5710             	59.9900            	0.0000             	0.0000             	0.0000             
34                 	2021-02-08 19:40:55	216.8000           	24.8900            	3.0860             	5.3962             	4.4300             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
35                 	2021-02-08 19:40:56	216.8000           	24.9400            	3.0850             	5.4070             	4.4426             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
36                 	2021-02-08 19:40:58	216.9000           	24.9300            	3.0910             	5.4073             	4.4391             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
37                 	2021-02-08 19:40:59	216.8000           	24.9100            	3.0870             	5.4005             	4.4335             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
38                 	2021-02-08 19:41:00	216.8000           	24.9200            	3.0930             	5.4027             	4.4315             	0.5720             	60.0000            	0.0000             	0.0000             	0.0000             
39                 	2021-02-08 19:41:01	216.7000           	24.8600            	3.0870             	5.3872             	4.4188             	0.5720             	60.0000            	0.0000             	0.0000             	0.0000             
40                 	2021-02-08 19:41:02	216.6000           	24.8900            	3.0920             	5.3912             	4.4184             	0.5730             	60.0000            	0.0000             	0.0000             	0.0000             
41                 	2021-02-08 19:41:03	216.6000           	25.2300            	3.1260             	5.4648             	4.4825             	0.5720             	60.0000            	0.0000             	0.0000             	0.0000             
42                 	2021-02-08 19:41:04	216.5000           	24.9500            	3.0910             	5.4017             	4.4307             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
