No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:50:09	217.4000           	20.7000            	2.5110             	4.5002             	3.7344             	0.5580             	59.9800            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:50:10	217.4000           	20.7200            	2.5090             	4.5045             	3.7441             	0.5560             	59.9800            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:50:11	217.7000           	20.8000            	2.5200             	4.5282             	3.7637             	0.5560             	59.9800            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:50:12	217.6000           	20.7800            	2.5150             	4.5217             	3.7584             	0.5560             	59.9900            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:50:14	217.4000           	20.7300            	2.5180             	4.5067             	3.7398             	0.5580             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:50:15	217.5000           	20.7000            	2.5120             	4.5023             	3.7392             	0.5570             	59.9800            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:50:16	217.5000           	20.6900            	2.5130             	4.5001             	3.7343             	0.5580             	59.9900            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:50:17	217.4000           	20.7900            	2.5180             	4.5197             	3.7537             	0.5570             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:50:18	217.5000           	21.4000            	2.5850             	4.6545             	3.8718             	0.5550             	59.9900            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:50:19	217.6000           	20.7600            	2.5150             	4.5174             	3.7548             	0.5560             	59.9800            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:50:20	217.4000           	20.6600            	2.5110             	4.4915             	3.7272             	0.5580             	59.9800            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:50:21	217.4000           	20.7600            	2.5130             	4.5132             	3.7513             	0.5560             	59.9800            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 12:50:22	217.4000           	20.8600            	2.5150             	4.5350             	3.7754             	0.5540             	59.9900            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 12:50:23	217.4000           	21.6600            	2.5950             	4.7089             	3.9327             	0.5500             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 12:50:24	217.3000           	22.2900            	2.6550             	4.8436             	4.0547             	0.5470             	59.9900            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 12:50:26	217.4000           	21.4300            	2.5720             	4.6589             	3.8879             	0.5510             	59.9900            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 12:50:27	217.3000           	20.9100            	2.5140             	4.5437             	3.7858             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 12:50:28	217.3000           	21.0000            	2.5250             	4.5633             	3.8021             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 12:50:29	217.3000           	22.1600            	2.6480             	4.8154             	4.0248             	0.5490             	59.9800            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 12:50:30	217.2000           	22.1200            	2.6490             	4.8045             	4.0094             	0.5510             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 12:50:31	217.2000           	20.8300            	2.5060             	4.5243             	3.7695             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 12:50:32	217.3000           	20.8700            	2.5110             	4.5351             	3.7785             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 12:50:33	217.3000           	20.8600            	2.5130             	4.5329             	3.7737             	0.5540             	59.9800            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 12:50:34	217.1000           	20.8800            	2.5110             	4.5330             	3.7769             	0.5530             	59.9800            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 12:50:35	217.3000           	20.9200            	2.5170             	4.5459             	3.7876             	0.5530             	59.9900            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 12:50:36	217.1000           	20.9100            	2.5170             	4.5396             	3.7793             	0.5540             	59.9800            	0.0000             	0.0000             	0.0000             
