No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:53:38	216.8000           	13.4600            	1.6590             	2.9181             	2.4017             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:53:39	216.8000           	13.4900            	1.6650             	2.9246             	2.4050             	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:53:40	216.7000           	13.4700            	1.6600             	2.9189             	2.4024             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:53:41	216.8000           	13.5300            	1.6670             	2.9333             	2.4142             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:53:42	216.9000           	13.4400            	1.6590             	2.9151             	2.3972             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:53:43	216.8000           	13.4300            	1.6610             	2.9116             	2.3923             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:53:45	216.8000           	13.4400            	1.6620             	2.9138             	2.3941             	0.5700             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:53:46	216.8000           	13.4500            	1.6580             	2.9160             	2.3999             	0.5680             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:53:47	216.8000           	15.5400            	1.9060             	3.3691             	2.7798             	0.5650             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:53:48	216.6000           	20.3900            	2.4440             	4.4165             	3.6797             	0.5530             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:53:49	217.0000           	14.7700            	1.8180             	3.2051             	2.6401             	0.5670             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:53:50	217.1000           	13.4500            	1.6620             	2.9200             	2.4012             	0.5690             	60.0100            	0.0000             	0.0000             	0.0000             
