No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:07:55	215.4000           	21.8800            	2.6810             	4.7130             	3.8789             	0.5680             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:07:56	215.4000           	21.8300            	2.6770             	4.7022             	3.8668             	0.5690             	60.0300            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:07:57	215.4000           	29.6700            	3.4180             	6.3909             	5.4034             	0.5340             	60.0300            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:07:58	215.4000           	21.6000            	2.6350             	4.6526             	3.8357             	0.5660             	60.0300            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:08:00	215.5000           	22.1400            	2.6980             	4.7712             	3.9366             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:08:01	215.5000           	22.1300            	2.6930             	4.7690             	3.9381             	0.5640             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:08:02	215.8000           	22.6100            	2.7470             	4.8792             	4.0358             	0.5620             	60.0300            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:08:03	215.6000           	22.2800            	2.7100             	4.8036             	3.9699             	0.5630             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:08:04	215.6000           	22.1900            	2.6930             	4.7842             	3.9572             	0.5620             	60.0400            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:08:05	215.2000           	20.5800            	2.5450             	4.4288             	3.6266             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:08:06	215.2000           	23.0500            	2.8160             	4.9604             	4.0859             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:08:07	215.2000           	21.8800            	2.6910             	4.7086             	3.8655             	0.5710             	60.0300            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 12:08:08	215.1000           	20.4900            	2.5360             	4.4074             	3.6059             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 12:08:09	215.2000           	24.5700            	2.9680             	5.2875             	4.3770             	0.5610             	60.0300            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 12:08:10	215.7000           	31.7900            	3.6350             	6.8571             	5.8191             	0.5290             	60.0400            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 12:08:11	215.2000           	46.5900            	4.9250             	10.0262            	8.7344             	0.4910             	60.0300            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 12:08:12	215.2000           	46.5900            	4.9910             	10.0262            	8.7457             	0.4890             	60.0300            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 12:08:14	215.4000           	47.3500            	5.0050             	10.1992            	8.8909             	0.4900             	60.0400            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 12:08:15	215.4000           	47.3100            	5.0070             	10.1906            	8.8776             	0.4910             	60.0400            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 12:08:16	215.3000           	45.7700            	4.8790             	9.8543             	8.5679             	0.4940             	60.0500            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 12:08:17	215.3000           	46.2000            	4.9020             	9.9469             	8.6597             	0.4920             	60.0500            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 12:08:18	215.3000           	46.1400            	4.9120             	9.9339             	8.6372             	0.4940             	60.0400            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 12:08:19	215.2000           	46.1600            	4.9050             	9.9336             	8.6426             	0.4930             	60.0400            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 12:08:20	215.3000           	46.5000            	4.9170             	10.0114            	8.7216             	0.4910             	60.0300            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 12:08:22	215.2000           	45.3800            	4.8190             	9.7658             	8.4965             	0.4930             	60.0400            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 12:08:23	215.2000           	45.0700            	4.7980             	9.6991             	8.4330             	0.4940             	60.0400            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 12:08:24	215.1000           	45.1200            	4.7970             	9.7053             	8.4384             	0.4940             	60.0300            	0.0000             	0.0000             	0.0000             
28                 	2021-01-29 12:08:25	215.2000           	44.9900            	4.7950             	9.6818             	8.4125             	0.4950             	60.0300            	0.0000             	0.0000             	0.0000             
29                 	2021-01-29 12:08:26	215.2000           	44.9700            	4.7990             	9.6775             	8.4087             	0.4950             	60.0300            	0.0000             	0.0000             	0.0000             
30                 	2021-01-29 12:08:27	215.4000           	45.1100            	4.8120             	9.7167             	8.4428             	0.4950             	60.0300            	0.0000             	0.0000             	0.0000             
31                 	2021-01-29 12:08:28	215.3000           	44.8100            	4.7970             	9.6476             	8.3717             	0.4970             	60.0300            	0.0000             	0.0000             	0.0000             
