No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:17:28	217.8000           	21.6900            	2.6940             	4.7241             	3.8815             	0.5700             	60.0400            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:17:30	217.7000           	21.7200            	2.6960             	4.7284             	3.8884             	0.5690             	60.0400            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:17:31	217.9000           	25.2700            	3.0430             	5.5063             	4.5914             	0.5520             	60.0400            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:17:32	217.9000           	22.0100            	2.7240             	4.7960             	3.9505             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:17:33	218.0000           	23.0600            	2.8410             	5.0271             	4.1512             	0.5640             	60.0400            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:17:34	218.1000           	22.0200            	2.7230             	4.8026             	3.9593             	0.5660             	60.0400            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:17:35	218.0000           	22.2700            	2.7490             	4.8549             	4.0024             	0.5660             	60.0400            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:17:36	218.1000           	21.8800            	2.7100             	4.7720             	3.9308             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:17:37	217.9000           	21.8800            	2.7090             	4.7677             	3.9272             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:17:39	217.8000           	22.4100            	2.7700             	4.8809             	4.0205             	0.5670             	60.0500            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:17:40	217.7000           	21.8300            	2.7090             	4.7524             	3.9081             	0.5690             	60.0400            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:17:41	217.8000           	21.1900            	2.6300             	4.6152             	3.7952             	0.5690             	60.0400            	0.0000             	0.0000             	0.0000             
