No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:27:45	216.4000           	21.9700            	2.6880             	4.7543             	3.9227             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:27:46	216.4000           	45.3900            	4.6900             	9.8224             	8.6329             	0.4770             	60.0300            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:27:47	216.2000           	25.3500            	3.0040             	5.4807             	4.5845             	0.5480             	60.0300            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:27:48	216.2000           	29.2100            	3.2970             	6.3152             	5.3904             	0.5210             	60.0300            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:27:50	216.3000           	22.1400            	2.7050             	4.7889             	3.9545             	0.5640             	60.0300            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:27:51	216.2000           	22.5500            	2.7430             	4.8753             	4.0326             	0.5620             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:27:52	216.2000           	22.3100            	2.7240             	4.8234             	3.9831             	0.5640             	60.0300            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:27:53	216.0000           	22.1400            	2.7050             	4.7822             	3.9458             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:27:54	216.0000           	22.1200            	2.7030             	4.7779             	3.9422             	0.5650             	60.0300            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:27:55	216.2000           	24.5300            	2.9360             	5.3034             	4.4187             	0.5530             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:27:56	216.5000           	22.9900            	2.7900             	4.9773             	4.1237             	0.5600             	60.0300            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:27:57	216.6000           	36.9900            	4.0840             	8.0120             	6.8965             	0.5090             	60.0300            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 12:27:58	216.6000           	29.7900            	3.4660             	6.4525             	5.4473             	0.5360             	60.0300            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 12:28:00	216.5000           	48.9700            	5.0410             	10.6020            	9.3296             	0.4750             	60.0300            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 12:28:01	216.5000           	47.9000            	4.9670             	10.3704            	9.1089             	0.4780             	60.0300            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 12:28:02	216.3000           	48.3400            	4.9990             	10.4559            	9.1841             	0.4780             	60.0400            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 12:28:03	216.2000           	47.7500            	4.9500             	10.3235            	9.0622             	0.4790             	60.0400            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 12:28:04	216.4000           	47.9600            	4.9560             	10.3785            	9.1217             	0.4770             	60.0300            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 12:28:05	216.4000           	47.9600            	4.9590             	10.3785            	9.1217             	0.4770             	60.0300            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 12:28:06	216.5000           	46.1400            	4.8050             	9.9893             	8.7633             	0.4800             	60.0500            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 12:28:07	216.4000           	45.7800            	4.8110             	9.9068             	8.6636             	0.4850             	60.0400            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 12:28:08	216.4000           	46.0900            	4.8190             	9.9739             	8.7333             	0.4830             	60.0400            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 12:28:09	216.5000           	46.4800            	4.8400             	10.0629            	8.8279             	0.4800             	60.0400            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 12:28:10	216.4000           	48.1100            	4.9800             	10.4110            	9.1446             	0.4780             	60.0400            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 12:28:11	216.5000           	48.7100            	5.0330             	10.5457            	9.2687             	0.4770             	60.0300            	0.0000             	0.0000             	0.0000             
