No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 12:39:58	217.0000           	22.9100            	2.6920             	4.9715             	4.1811             	0.5410             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 12:39:59	216.9000           	23.1100            	2.7100             	5.0126             	4.2189             	0.5400             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 12:40:01	216.9000           	38.0600            	3.9390             	8.2552             	7.2600             	0.4760             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 12:40:02	216.9000           	22.6000            	2.6600             	4.9019             	4.1195             	0.5420             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 12:40:03	216.9000           	25.0000            	2.8810             	5.4225             	4.5949             	0.5310             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 12:40:04	216.9000           	23.1400            	2.7070             	5.0191             	4.2276             	0.5390             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 12:40:05	216.8000           	23.0400            	2.7040             	4.9951             	4.2010             	0.5410             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 12:40:06	216.9000           	23.0400            	2.7050             	4.9974             	4.2029             	0.5410             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 12:40:07	217.0000           	22.9900            	2.7060             	4.9888             	4.1925             	0.5420             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 12:40:08	216.8000           	23.2500            	2.7270             	5.0406             	4.2425             	0.5400             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 12:40:09	216.9000           	24.1300            	2.8160             	5.2338             	4.4151             	0.5370             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 12:40:10	216.9000           	23.0500            	2.7040             	4.9995             	4.2079             	0.5400             	60.0200            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 12:40:11	216.8000           	40.9200            	4.2830             	8.8715             	7.7729             	0.4820             	60.0200            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 12:40:13	216.9000           	48.1200            	4.8780             	10.4372            	9.2292             	0.4670             	60.0200            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 12:40:14	216.8000           	49.4700            	4.9930             	10.7251            	9.4950             	0.4650             	60.0300            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 12:40:15	216.8000           	50.6200            	5.0810             	10.9744            	9.7330             	0.4620             	60.0300            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 12:40:16	216.8000           	50.5400            	5.0790             	10.9571            	9.7119             	0.4630             	60.0200            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 12:40:17	216.8000           	49.4500            	4.9820             	10.7208            	9.4968             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 12:40:18	216.8000           	50.8100            	5.0930             	11.0156            	9.7695             	0.4620             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 12:40:19	216.9000           	50.7900            	5.1000             	11.0164            	9.7702             	0.4620             	60.0200            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 12:40:20	216.9000           	50.5900            	5.0950             	10.9730            	9.7202             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 12:40:22	217.2000           	48.9600            	4.9490             	10.6341            	9.4145             	0.4650             	60.0200            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 12:40:23	217.2000           	48.8700            	4.9540             	10.6146            	9.3916             	0.4660             	60.0200            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 12:40:24	217.1000           	49.0400            	4.9570             	10.6466            	9.4255             	0.4650             	60.0200            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 12:40:25	217.1000           	49.2700            	4.9580             	10.6965            	9.4809             	0.4630             	60.0200            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 12:40:26	217.1000           	49.4400            	4.9640             	10.7334            	9.5193             	0.4620             	60.0300            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 12:40:27	216.9000           	49.2200            	4.9540             	10.6758            	9.4626             	0.4630             	60.0300            	0.0000             	0.0000             	0.0000             
28                 	2021-01-29 12:40:28	217.0000           	49.4200            	4.9640             	10.7241            	9.5110             	0.4620             	60.0200            	0.0000             	0.0000             	0.0000             
29                 	2021-01-29 12:40:29	217.1000           	49.5100            	4.9870             	10.7486            	9.5271             	0.4630             	60.0300            	0.0000             	0.0000             	0.0000             
30                 	2021-01-29 12:40:30	217.0000           	49.1600            	4.9720             	10.6677            	9.4442             	0.4650             	60.0200            	0.0000             	0.0000             	0.0000             
31                 	2021-01-29 12:40:32	217.2000           	49.7400            	4.9820             	10.8035            	9.5871             	0.4610             	60.0200            	0.0000             	0.0000             	0.0000             
32                 	2021-01-29 12:40:33	217.0000           	49.6300            	4.9750             	10.7697            	9.5570             	0.4610             	60.0200            	0.0000             	0.0000             	0.0000             
33                 	2021-01-29 12:40:34	217.0000           	49.4900            	4.9740             	10.7393            	9.5189             	0.4630             	60.0200            	0.0000             	0.0000             	0.0000             
34                 	2021-01-29 12:40:35	217.0000           	49.6000            	4.9800             	10.7632            	9.5457             	0.4620             	60.0200            	0.0000             	0.0000             	0.0000             
35                 	2021-01-29 12:40:36	217.1000           	49.6200            	4.9790             	10.7725            	9.5539             	0.4620             	60.0200            	0.0000             	0.0000             	0.0000             
36                 	2021-01-29 12:40:37	216.9000           	49.3200            	4.9740             	10.6975            	9.4762             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
37                 	2021-01-29 12:40:38	216.8000           	49.5700            	4.9890             	10.7468            	9.5199             	0.4640             	60.0100            	0.0000             	0.0000             	0.0000             
38                 	2021-01-29 12:40:39	217.0000           	49.7500            	4.9960             	10.7957            	9.5745             	0.4620             	60.0100            	0.0000             	0.0000             	0.0000             
39                 	2021-01-29 12:40:40	216.8000           	49.4800            	4.9840             	10.7273            	9.5026             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
40                 	2021-01-29 12:40:41	216.9000           	49.4200            	4.9840             	10.7192            	9.4954             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
41                 	2021-01-29 12:40:43	216.7000           	49.5900            	4.9890             	10.7462            	9.5193             	0.4640             	60.0200            	0.0000             	0.0000             	0.0000             
42                 	2021-01-29 12:40:44	216.8000           	30.0400            	3.3640             	6.5127             	5.5787             	0.5160             	60.0200            	0.0000             	0.0000             	0.0000             
43                 	2021-01-29 12:40:45	216.9000           	26.0200            	2.9950             	5.6437             	4.7859             	0.5300             	60.0200            	0.0000             	0.0000             	0.0000             
44                 	2021-01-29 12:40:46	216.8000           	24.4900            	2.8490             	5.3094             	4.4823             	0.5360             	60.0200            	0.0000             	0.0000             	0.0000             
