No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-24 22:12:39	215.8000           	20.0600            	2.5340             	4.3289             	3.5109             	0.5850             	59.9600            	0.0000             	0.0000             	0.0000             
2                  	2021-01-24 22:12:40	215.9000           	20.0900            	2.5180             	4.3374             	3.5333             	0.5800             	59.9600            	0.0000             	0.0000             	0.0000             
3                  	2021-01-24 22:12:41	215.8000           	20.3400            	2.5410             	4.3894             	3.5819             	0.5780             	59.9600            	0.0000             	0.0000             	0.0000             
4                  	2021-01-24 22:12:42	215.7000           	19.7600            	2.4620             	4.2622             	3.4812             	0.5770             	59.9600            	0.0000             	0.0000             	0.0000             
5                  	2021-01-24 22:12:43	215.7000           	23.6300            	2.8220             	5.0970             	4.2467             	0.5530             	59.9500            	0.0000             	0.0000             	0.0000             
6                  	2021-01-24 22:12:44	215.9000           	20.8600            	2.5680             	4.5037             	3.7004             	0.5700             	59.9500            	0.0000             	0.0000             	0.0000             
7                  	2021-01-24 22:12:45	215.9000           	19.0600            	2.3740             	4.1151             	3.3609             	0.5770             	59.9600            	0.0000             	0.0000             	0.0000             
8                  	2021-01-24 22:12:46	215.8000           	19.0600            	2.3830             	4.1131             	3.3536             	0.5790             	59.9600            	0.0000             	0.0000             	0.0000             
9                  	2021-01-24 22:12:47	215.9000           	19.0200            	2.3790             	4.1064             	3.3481             	0.5790             	59.9600            	0.0000             	0.0000             	0.0000             
10                 	2021-01-24 22:12:48	215.8000           	19.1800            	2.4120             	4.1390             	3.3658             	0.5820             	59.9700            	0.0000             	0.0000             	0.0000             
11                 	2021-01-24 22:12:49	216.0000           	18.9100            	2.3890             	4.0846             	3.3157             	0.5840             	59.9700            	0.0000             	0.0000             	0.0000             
12                 	2021-01-24 22:12:51	215.9000           	17.8700            	2.2700             	3.8581             	3.1207             	0.5880             	59.9700            	0.0000             	0.0000             	0.0000             
13                 	2021-01-24 22:12:52	215.8000           	18.7700            	2.3860             	4.0506             	3.2763             	0.5880             	59.9700            	0.0000             	0.0000             	0.0000             
14                 	2021-01-24 22:12:53	215.9000           	18.8900            	2.4010             	4.0784             	3.2988             	0.5880             	59.9800            	0.0000             	0.0000             	0.0000             
15                 	2021-01-24 22:12:54	215.8000           	18.9600            	2.4140             	4.0916             	3.3065             	0.5890             	59.9700            	0.0000             	0.0000             	0.0000             
16                 	2021-01-24 22:12:55	215.7000           	23.6000            	2.9280             	5.0905             	4.1684             	0.5740             	59.9700            	0.0000             	0.0000             	0.0000             
17                 	2021-01-24 22:12:56	215.8000           	24.3100            	3.0030             	5.2461             	4.3031             	0.5720             	59.9700            	0.0000             	0.0000             	0.0000             
18                 	2021-01-24 22:12:57	215.8000           	24.9600            	3.0580             	5.3864             	4.4368             	0.5670             	59.9700            	0.0000             	0.0000             	0.0000             
19                 	2021-01-24 22:12:58	215.6000           	24.8100            	3.0470             	5.3490             	4.3987             	0.5690             	59.9700            	0.0000             	0.0000             	0.0000             
20                 	2021-01-24 22:13:00	215.8000           	23.7000            	2.9090             	5.1145             	4.2093             	0.5680             	59.9600            	0.0000             	0.0000             	0.0000             
21                 	2021-01-24 22:13:01	215.7000           	24.2500            	2.9780             	5.2307             	4.3014             	0.5690             	59.9700            	0.0000             	0.0000             	0.0000             
22                 	2021-01-24 22:13:02	215.8000           	24.5200            	3.0000             	5.2914             	4.3623             	0.5660             	59.9700            	0.0000             	0.0000             	0.0000             
23                 	2021-01-24 22:13:03	215.8000           	24.0700            	2.9610             	5.1943             	4.2715             	0.5690             	59.9700            	0.0000             	0.0000             	0.0000             
24                 	2021-01-24 22:13:04	215.9000           	24.1100            	2.9760             	5.2053             	4.2733             	0.5710             	59.9700            	0.0000             	0.0000             	0.0000             
25                 	2021-01-24 22:13:05	216.0000           	24.0400            	2.9610             	5.1926             	4.2665             	0.5700             	59.9600            	0.0000             	0.0000             	0.0000             
26                 	2021-01-24 22:13:06	215.9000           	24.0100            	2.9620             	5.1838             	4.2556             	0.5710             	59.9700            	0.0000             	0.0000             	0.0000             
27                 	2021-01-24 22:13:07	215.9000           	23.9500            	2.9530             	5.1708             	4.2486             	0.5700             	59.9700            	0.0000             	0.0000             	0.0000             
28                 	2021-01-24 22:13:09	215.9000           	23.9700            	2.9620             	5.1751             	4.2449             	0.5720             	59.9700            	0.0000             	0.0000             	0.0000             
29                 	2021-01-24 22:13:10	216.0000           	31.0100            	3.6400             	6.6982             	5.6247             	0.5430             	59.9700            	0.0000             	0.0000             	0.0000             
30                 	2021-01-24 22:13:11	215.9000           	25.2500            	3.0720             	5.4515             	4.5054             	0.5630             	59.9700            	0.0000             	0.0000             	0.0000             
31                 	2021-01-24 22:13:12	215.9000           	26.7000            	3.2290             	5.7645             	4.7759             	0.5600             	59.9700            	0.0000             	0.0000             	0.0000             
32                 	2021-01-24 22:13:13	215.8000           	26.5100            	3.1960             	5.7209             	4.7474             	0.5580             	59.9700            	0.0000             	0.0000             	0.0000             
33                 	2021-01-24 22:13:14	215.9000           	24.4100            	2.9830             	5.2701             	4.3483             	0.5650             	59.9700            	0.0000             	0.0000             	0.0000             
34                 	2021-01-24 22:13:15	215.9000           	25.1600            	3.0610             	5.4320             	4.4894             	0.5630             	59.9600            	0.0000             	0.0000             	0.0000             
35                 	2021-01-24 22:13:16	216.0000           	25.0800            	3.0660             	5.4173             	4.4697             	0.5650             	59.9700            	0.0000             	0.0000             	0.0000             
36                 	2021-01-24 22:13:17	216.1000           	26.7400            	3.2370             	5.7785             	4.7875             	0.5600             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-01-24 22:13:18	215.9000           	26.8000            	3.2370             	5.7861             	4.7977             	0.5590             	59.9700            	0.0000             	0.0000             	0.0000             
38                 	2021-01-24 22:13:19	215.9000           	26.7300            	3.2480             	5.7710             	4.7734             	0.5620             	59.9800            	0.0000             	0.0000             	0.0000             
39                 	2021-01-24 22:13:20	215.9000           	17.5300            	2.2420             	3.7847             	3.0503             	0.5920             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-01-24 22:13:22	215.7000           	17.5200            	2.2440             	3.7791             	3.0429             	0.5930             	59.9800            	0.0000             	0.0000             	0.0000             
41                 	2021-01-24 22:13:23	215.9000           	18.7600            	2.3730             	4.0503             	3.2849             	0.5850             	59.9800            	0.0000             	0.0000             	0.0000             
42                 	2021-01-24 22:13:24	215.6000           	17.5300            	2.2400             	3.7795             	3.0460             	0.5920             	59.9800            	0.0000             	0.0000             	0.0000             
43                 	2021-01-24 22:13:25	215.8000           	20.3000            	2.5550             	4.3807             	3.5592             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
44                 	2021-01-24 22:13:26	215.8000           	19.0100            	2.4120             	4.1024             	3.3212             	0.5870             	59.9800            	0.0000             	0.0000             	0.0000             
45                 	2021-01-24 22:13:27	215.7000           	19.0000            	2.3910             	4.0983             	3.3298             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
46                 	2021-01-24 22:13:28	215.7000           	19.0800            	2.3970             	4.1156             	3.3467             	0.5820             	59.9700            	0.0000             	0.0000             	0.0000             
47                 	2021-01-24 22:13:29	215.7000           	18.0200            	2.2800             	3.8869             	3.1496             	0.5860             	59.9800            	0.0000             	0.0000             	0.0000             
48                 	2021-01-24 22:13:30	215.7000           	17.4200            	2.2230             	3.7575             	3.0311             	0.5910             	59.9800            	0.0000             	0.0000             	0.0000             
49                 	2021-01-24 22:13:31	215.8000           	17.5200            	2.2340             	3.7808             	3.0526             	0.5900             	59.9800            	0.0000             	0.0000             	0.0000             
50                 	2021-01-24 22:13:33	215.6000           	17.3300            	2.2090             	3.7363             	3.0167             	0.5900             	59.9800            	0.0000             	0.0000             	0.0000             
51                 	2021-01-24 22:13:34	215.6000           	24.5400            	3.0120             	5.2908             	4.3545             	0.5680             	59.9700            	0.0000             	0.0000             	0.0000             
52                 	2021-01-24 22:13:35	215.8000           	24.8900            	3.0390             	5.3713             	4.4318             	0.5650             	59.9700            	0.0000             	0.0000             	0.0000             
53                 	2021-01-24 22:13:36	215.8000           	23.8600            	2.9440             	5.1490             	4.2271             	0.5710             	59.9700            	0.0000             	0.0000             	0.0000             
54                 	2021-01-24 22:13:37	215.7000           	23.8700            	2.9500             	5.1488             	4.2233             	0.5720             	59.9700            	0.0000             	0.0000             	0.0000             
55                 	2021-01-24 22:13:38	215.7000           	23.8300            	2.9600             	5.1401             	4.2054             	0.5750             	59.9700            	0.0000             	0.0000             	0.0000             
56                 	2021-01-24 22:13:39	215.8000           	23.7700            	2.9520             	5.1296             	4.1968             	0.5750             	59.9600            	0.0000             	0.0000             	0.0000             
57                 	2021-01-24 22:13:40	215.9000           	23.9600            	2.9720             	5.1730             	4.2359             	0.5740             	59.9600            	0.0000             	0.0000             	0.0000             
58                 	2021-01-24 22:13:41	216.0000           	23.6400            	2.9460             	5.1062             	4.1741             	0.5760             	59.9900            	0.0000             	0.0000             	0.0000             
59                 	2021-01-24 22:13:43	215.7000           	23.8500            	2.9590             	5.1444             	4.2089             	0.5750             	59.9700            	0.0000             	0.0000             	0.0000             
60                 	2021-01-24 22:13:44	215.9000           	24.0700            	2.9620             	5.1967             	4.2735             	0.5690             	59.9800            	0.0000             	0.0000             	0.0000             
61                 	2021-01-24 22:13:45	215.7000           	24.1900            	2.9720             	5.2178             	4.2908             	0.5690             	59.9800            	0.0000             	0.0000             	0.0000             
62                 	2021-01-24 22:13:46	215.6000           	24.1200            	2.9560             	5.2003             	4.2800             	0.5680             	59.9800            	0.0000             	0.0000             	0.0000             
63                 	2021-01-24 22:13:47	215.7000           	24.0100            	2.9470             	5.1790             	4.2624             	0.5680             	59.9700            	0.0000             	0.0000             	0.0000             
64                 	2021-01-24 22:13:48	215.3000           	23.7000            	2.9260             	5.1026             	4.1819             	0.5730             	59.9800            	0.0000             	0.0000             	0.0000             
65                 	2021-01-24 22:13:50	215.4000           	24.1700            	2.9700             	5.2062             	4.2777             	0.5700             	59.9700            	0.0000             	0.0000             	0.0000             
66                 	2021-01-24 22:13:51	215.5000           	24.0100            	2.9550             	5.1742             	4.2477             	0.5710             	59.9600            	0.0000             	0.0000             	0.0000             
67                 	2021-01-24 22:13:52	215.5000           	24.2000            	2.9720             	5.2151             	4.2886             	0.5690             	59.9600            	0.0000             	0.0000             	0.0000             
68                 	2021-01-24 22:13:53	215.5000           	23.9900            	2.9740             	5.1698             	4.2334             	0.5740             	59.9600            	0.0000             	0.0000             	0.0000             
69                 	2021-01-24 22:13:54	215.8000           	24.1000            	2.9900             	5.2008             	4.2587             	0.5740             	59.9500            	0.0000             	0.0000             	0.0000             
70                 	2021-01-24 22:13:55	215.7000           	23.9400            	2.9670             	5.1639             	4.2285             	0.5740             	59.9500            	0.0000             	0.0000             	0.0000             
71                 	2021-01-24 22:13:56	215.7000           	23.9900            	2.9730             	5.1746             	4.2373             	0.5740             	59.9500            	0.0000             	0.0000             	0.0000             
72                 	2021-01-24 22:13:57	215.7000           	25.2000            	3.0790             	5.4356             	4.4812             	0.5660             	59.9500            	0.0000             	0.0000             	0.0000             
73                 	2021-01-24 22:13:58	215.3000           	19.1800            	2.4180             	4.1295             	3.3491             	0.5850             	59.9500            	0.0000             	0.0000             	0.0000             
74                 	2021-01-24 22:13:59	215.4000           	19.0500            	2.3980             	4.1034             	3.3309             	0.5840             	59.9500            	0.0000             	0.0000             	0.0000             
75                 	2021-01-24 22:14:00	215.6000           	17.5500            	2.2350             	3.7838             	3.0550             	0.5900             	59.9500            	0.0000             	0.0000             	0.0000             
76                 	2021-01-24 22:14:01	215.5000           	17.5700            	2.2350             	3.7863             	3.0571             	0.5900             	59.9700            	0.0000             	0.0000             	0.0000             
77                 	2021-01-24 22:14:02	215.4000           	18.5600            	2.3780             	3.9978             	3.2161             	0.5940             	59.9500            	0.0000             	0.0000             	0.0000             
78                 	2021-01-24 22:14:04	215.4000           	18.7200            	2.3940             	4.0323             	3.2468             	0.5930             	59.9500            	0.0000             	0.0000             	0.0000             
79                 	2021-01-24 22:14:05	215.6000           	17.5200            	2.2450             	3.7773             	3.0387             	0.5940             	59.9500            	0.0000             	0.0000             	0.0000             
80                 	2021-01-24 22:14:06	215.5000           	17.6000            	2.2420             	3.7928             	3.0623             	0.5900             	59.9700            	0.0000             	0.0000             	0.0000             
81                 	2021-01-24 22:14:07	215.4000           	18.0400            	2.2900             	3.8858             	3.1403             	0.5890             	59.9400            	0.0000             	0.0000             	0.0000             
82                 	2021-01-24 22:14:08	215.3000           	18.5700            	2.3430             	3.9981             	3.2426             	0.5850             	59.9400            	0.0000             	0.0000             	0.0000             
83                 	2021-01-24 22:14:09	215.4000           	17.5900            	2.2400             	3.7889             	3.0564             	0.5910             	59.9500            	0.0000             	0.0000             	0.0000             
84                 	2021-01-24 22:14:11	215.5000           	17.4600            	2.2250             	3.7626             	3.0352             	0.5910             	59.9500            	0.0000             	0.0000             	0.0000             
85                 	2021-01-24 22:14:12	215.5000           	25.7500            	3.1580             	5.5491             	4.5633             	0.5690             	59.9500            	0.0000             	0.0000             	0.0000             
86                 	2021-01-24 22:14:13	215.7000           	25.1500            	3.1020             	5.4249             	4.4535             	0.5710             	59.9600            	0.0000             	0.0000             	0.0000             
87                 	2021-01-24 22:14:14	215.7000           	24.4200            	3.0200             	5.2674             	4.3169             	0.5730             	59.9600            	0.0000             	0.0000             	0.0000             
88                 	2021-01-24 22:14:15	215.5000           	23.8900            	2.9630             	5.1483             	4.2121             	0.5750             	59.9600            	0.0000             	0.0000             	0.0000             
89                 	2021-01-24 22:14:17	215.4000           	24.0500            	2.9580             	5.1804             	4.2564             	0.5700             	59.9600            	0.0000             	0.0000             	0.0000             
90                 	2021-01-24 22:14:18	215.3000           	24.2200            	2.9640             	5.2146             	4.2917             	0.5680             	59.9500            	0.0000             	0.0000             	0.0000             
91                 	2021-01-24 22:14:19	215.5000           	24.1900            	2.9620             	5.2129             	4.2904             	0.5680             	59.9600            	0.0000             	0.0000             	0.0000             
92                 	2021-01-24 22:14:20	215.6000           	24.2500            	2.9720             	5.2283             	4.3030             	0.5680             	59.9600            	0.0000             	0.0000             	0.0000             
93                 	2021-01-24 22:14:21	215.5000           	24.1100            	2.9550             	5.1957             	4.2762             	0.5680             	59.9600            	0.0000             	0.0000             	0.0000             
94                 	2021-01-24 22:14:22	215.5000           	23.7500            	2.9470             	5.1181             	4.1874             	0.5750             	59.9700            	0.0000             	0.0000             	0.0000             
95                 	2021-01-24 22:14:23	215.7000           	26.7700            	3.2720             	5.7743             	4.7604             	0.5660             	59.9700            	0.0000             	0.0000             	0.0000             
96                 	2021-01-24 22:14:25	215.6000           	26.2900            	3.2200             	5.6681             	4.6650             	0.5680             	59.9700            	0.0000             	0.0000             	0.0000             
97                 	2021-01-24 22:14:26	215.5000           	25.7700            	3.1500             	5.5534             	4.5745             	0.5670             	59.9900            	0.0000             	0.0000             	0.0000             
98                 	2021-01-24 22:14:27	215.7000           	25.9500            	3.1770             	5.5974             	4.6107             	0.5670             	59.9800            	0.0000             	0.0000             	0.0000             
99                 	2021-01-24 22:14:28	215.7000           	26.2100            	3.2040             	5.6535             	4.6608             	0.5660             	59.9600            	0.0000             	0.0000             	0.0000             
100                	2021-01-24 22:14:29	215.6000           	25.2100            	3.0800             	5.4353             	4.4809             	0.5660             	59.9800            	0.0000             	0.0000             	0.0000             
101                	2021-01-24 22:14:30	215.6000           	25.0600            	3.0660             	5.4029             	4.4505             	0.5670             	59.9800            	0.0000             	0.0000             	0.0000             
102                	2021-01-24 22:14:31	215.6000           	23.9700            	2.9520             	5.1679             	4.2426             	0.5710             	59.9800            	0.0000             	0.0000             	0.0000             
103                	2021-01-24 22:14:33	215.7000           	24.1400            	2.9710             	5.2070             	4.2783             	0.5700             	59.9700            	0.0000             	0.0000             	0.0000             
104                	2021-01-24 22:14:34	215.5000           	24.1300            	2.9700             	5.2000             	4.2690             	0.5710             	59.9700            	0.0000             	0.0000             	0.0000             
105                	2021-01-24 22:14:35	215.6000           	24.0900            	2.9730             	5.1938             	4.2602             	0.5720             	59.9800            	0.0000             	0.0000             	0.0000             
106                	2021-01-24 22:14:36	215.4000           	24.0200            	2.9590             	5.1739             	4.2475             	0.5710             	59.9600            	0.0000             	0.0000             	0.0000             
107                	2021-01-24 22:14:37	215.6000           	17.5700            	2.2500             	3.7881             	3.0502             	0.5930             	59.9700            	0.0000             	0.0000             	0.0000             
108                	2021-01-24 22:14:38	215.6000           	17.4500            	2.2400             	3.7622             	3.0238             	0.5950             	59.9700            	0.0000             	0.0000             	0.0000             
109                	2021-01-24 22:14:39	215.8000           	17.4200            	2.2460             	3.7592             	3.0158             	0.5970             	59.9700            	0.0000             	0.0000             	0.0000             
110                	2021-01-24 22:14:40	215.7000           	17.4100            	2.2420             	3.7553             	3.0127             	0.5970             	59.9700            	0.0000             	0.0000             	0.0000             
111                	2021-01-24 22:14:41	215.8000           	17.7300            	2.2690             	3.8261             	3.0836             	0.5920             	59.9700            	0.0000             	0.0000             	0.0000             
112                	2021-01-24 22:14:42	215.7000           	17.5000            	2.2440             	3.7748             	3.0367             	0.5940             	59.9700            	0.0000             	0.0000             	0.0000             
113                	2021-01-24 22:14:43	215.8000           	18.9200            	2.4000             	4.0829             	3.3055             	0.5870             	59.9700            	0.0000             	0.0000             	0.0000             
114                	2021-01-24 22:14:44	216.1000           	19.0400            	2.4100             	4.1145             	3.3370             	0.5850             	59.9700            	0.0000             	0.0000             	0.0000             
115                	2021-01-24 22:14:46	215.8000           	17.9800            	2.2820             	3.8801             	3.1384             	0.5880             	59.9800            	0.0000             	0.0000             	0.0000             
116                	2021-01-24 22:14:47	215.8000           	17.7900            	2.2640             	3.8391             	3.1025             	0.5890             	59.9800            	0.0000             	0.0000             	0.0000             
117                	2021-01-24 22:14:48	215.9000           	17.7600            	2.2600             	3.8344             	3.0987             	0.5890             	59.9800            	0.0000             	0.0000             	0.0000             
118                	2021-01-24 22:14:49	216.0000           	18.9900            	2.3940             	4.1018             	3.3326             	0.5830             	59.9800            	0.0000             	0.0000             	0.0000             
119                	2021-01-24 22:14:50	215.9000           	25.3500            	3.0890             	5.4731             	4.5195             	0.5640             	59.9800            	0.0000             	0.0000             	0.0000             
120                	2021-01-24 22:14:51	216.1000           	24.0000            	2.9410             	5.1864             	4.2721             	0.5670             	59.9800            	0.0000             	0.0000             	0.0000             
121                	2021-01-24 22:14:52	215.8000           	23.9300            	2.9390             	5.1641             	4.2502             	0.5680             	59.9800            	0.0000             	0.0000             	0.0000             
122                	2021-01-24 22:14:53	215.9000           	24.0500            	2.9530             	5.1924             	4.2735             	0.5680             	59.9800            	0.0000             	0.0000             	0.0000             
123                	2021-01-24 22:14:54	215.8000           	23.8200            	2.9400             	5.1404             	4.2200             	0.5710             	59.9800            	0.0000             	0.0000             	0.0000             
124                	2021-01-24 22:14:56	215.8000           	23.8900            	2.9470             	5.1555             	4.2324             	0.5710             	59.9900            	0.0000             	0.0000             	0.0000             
125                	2021-01-24 22:14:57	215.9000           	23.4800            	2.9180             	5.0693             	4.1475             	0.5750             	59.9800            	0.0000             	0.0000             	0.0000             
126                	2021-01-24 22:14:58	215.7000           	23.6100            	2.9290             	5.0927             	4.1702             	0.5740             	59.9700            	0.0000             	0.0000             	0.0000             
127                	2021-01-24 22:14:59	215.8000           	24.9300            	3.0650             	5.3799             	4.4241             	0.5690             	59.9700            	0.0000             	0.0000             	0.0000             
128                	2021-01-24 22:15:00	215.7000           	24.6400            	3.0570             	5.3148             	4.3521             	0.5740             	59.9800            	0.0000             	0.0000             	0.0000             
129                	2021-01-24 22:15:01	215.6000           	24.9300            	3.0820             	5.3749             	4.4050             	0.5730             	59.9800            	0.0000             	0.0000             	0.0000             
130                	2021-01-24 22:15:02	215.6000           	24.7900            	3.0660             	5.3447             	4.3803             	0.5730             	59.9800            	0.0000             	0.0000             	0.0000             
131                	2021-01-24 22:15:03	215.7000           	24.7100            	3.0340             	5.3299             	4.3867             	0.5680             	59.9800            	0.0000             	0.0000             	0.0000             
132                	2021-01-24 22:15:04	215.8000           	25.0300            	3.0630             	5.4015             	4.4530             	0.5660             	59.9700            	0.0000             	0.0000             	0.0000             
133                	2021-01-24 22:15:05	215.8000           	24.9700            	3.0570             	5.3885             	4.4423             	0.5660             	59.9700            	0.0000             	0.0000             	0.0000             
134                	2021-01-24 22:15:06	215.9000           	24.9400            	3.0600             	5.3845             	4.4353             	0.5670             	59.9800            	0.0000             	0.0000             	0.0000             
135                	2021-01-24 22:15:07	215.8000           	25.0600            	3.0600             	5.4079             	4.4620             	0.5650             	59.9700            	0.0000             	0.0000             	0.0000             
136                	2021-01-24 22:15:08	215.9000           	25.0200            	3.0590             	5.4018             	4.4533             	0.5660             	59.9700            	0.0000             	0.0000             	0.0000             
137                	2021-01-24 22:15:09	215.8000           	25.0600            	3.0580             	5.4079             	4.4620             	0.5650             	59.9700            	0.0000             	0.0000             	0.0000             
138                	2021-01-24 22:15:10	215.8000           	24.9200            	3.0500             	5.3777             	4.4297             	0.5670             	59.9700            	0.0000             	0.0000             	0.0000             
139                	2021-01-24 22:15:12	215.7000           	24.9600            	3.0680             	5.3839             	4.4274             	0.5690             	59.9700            	0.0000             	0.0000             	0.0000             
140                	2021-01-24 22:15:13	215.7000           	26.2400            	3.2280             	5.6600             	4.6505             	0.5700             	59.9700            	0.0000             	0.0000             	0.0000             
141                	2021-01-24 22:15:14	215.7000           	25.8300            	3.2140             	5.5715             	4.5544             	0.5760             	59.9700            	0.0000             	0.0000             	0.0000             
142                	2021-01-24 22:15:15	215.7000           	17.8900            	2.2960             	3.8589             	3.1043             	0.5940             	59.9800            	0.0000             	0.0000             	0.0000             
143                	2021-01-24 22:15:16	215.6000           	17.4400            	2.2420             	3.7601             	3.0193             	0.5960             	59.9700            	0.0000             	0.0000             	0.0000             
144                	2021-01-24 22:15:17	215.6000           	17.4900            	2.2470             	3.7708             	3.0307             	0.5950             	59.9700            	0.0000             	0.0000             	0.0000             
145                	2021-01-24 22:15:18	215.7000           	17.5000            	2.2410             	3.7748             	3.0394             	0.5930             	59.9700            	0.0000             	0.0000             	0.0000             
146                	2021-01-24 22:15:19	215.7000           	17.5700            	2.2380             	3.7898             	3.0599             	0.5900             	59.9700            	0.0000             	0.0000             	0.0000             
147                	2021-01-24 22:15:21	215.7000           	17.6100            	2.2440             	3.7985             	3.0669             	0.5900             	59.9800            	0.0000             	0.0000             	0.0000             
148                	2021-01-24 22:15:22	215.5000           	17.4700            	2.2390             	3.7648             	3.0286             	0.5940             	59.9800            	0.0000             	0.0000             	0.0000             
149                	2021-01-24 22:15:23	215.8000           	18.3100            	2.3320             	3.9513             	3.1932             	0.5890             	59.9800            	0.0000             	0.0000             	0.0000             
150                	2021-01-24 22:15:24	215.8000           	18.3600            	2.3320             	3.9621             	3.2048             	0.5880             	59.9800            	0.0000             	0.0000             	0.0000             
