No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-27 20:16:49	215.6000           	22.4500            	2.8160             	4.8402             	3.9395             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-27 20:16:51	215.5000           	22.4000            	2.8170             	4.8272             	3.9220             	0.5830             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2021-01-27 20:16:52	215.5000           	22.4000            	2.8060             	4.8272             	3.9289             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2021-01-27 20:16:53	215.5000           	22.0800            	2.7720             	4.7582             	3.8693             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-01-27 20:16:54	215.6000           	22.0600            	2.7690             	4.7561             	3.8676             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-01-27 20:16:55	215.6000           	21.8900            	2.7620             	4.7195             	3.8277             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-01-27 20:16:56	215.7000           	21.9300            	2.7670             	4.7303             	3.8398             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
8                  	2021-01-27 20:16:57	215.5000           	23.1900            	2.9320             	4.9974             	4.0495             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
9                  	2021-01-27 20:16:58	215.5000           	25.0300            	3.1590             	5.3940             	4.3747             	0.5850             	60.0200            	0.0000             	0.0000             	0.0000             
10                 	2021-01-27 20:16:59	215.4000           	21.8900            	2.7600             	4.7151             	3.8241             	0.5850             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-01-27 20:17:00	215.4000           	24.5100            	3.0860             	5.2795             	4.2856             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-01-27 20:17:02	215.5000           	22.2400            	2.7900             	4.7927             	3.8940             	0.5830             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2021-01-27 20:17:03	215.4000           	22.8300            	2.8800             	4.9176             	3.9883             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-01-27 20:17:04	215.3000           	22.4600            	2.8320             	4.8356             	3.9219             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2021-01-27 20:17:05	215.3000           	22.1500            	2.7920             	4.7689             	3.8677             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
16                 	2021-01-27 20:17:06	215.3000           	21.0400            	2.6370             	4.5299             	3.6837             	0.5820             	59.9800            	0.0000             	0.0000             	0.0000             
17                 	2021-01-27 20:17:07	215.3000           	22.1500            	2.7910             	4.7689             	3.8677             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-01-27 20:17:08	215.5000           	22.1000            	2.7930             	4.7626             	3.8591             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-01-27 20:17:10	215.5000           	27.0700            	3.4530             	5.8336             	4.7058             	0.5910             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-01-27 20:17:11	215.4000           	33.5000            	4.2600             	7.2159             	5.8261             	0.5900             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-27 20:17:12	215.6000           	28.1100            	3.5940             	6.0605             	4.8844             	0.5920             	59.9900            	0.0000             	0.0000             	0.0000             
22                 	2021-01-27 20:17:13	215.7000           	33.9800            	4.3610             	7.3295             	5.8963             	0.5940             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-01-27 20:17:14	215.6000           	33.6900            	4.3250             	7.2636             	5.8379             	0.5950             	59.9900            	0.0000             	0.0000             	0.0000             
24                 	2021-01-27 20:17:15	215.7000           	33.8300            	4.3500             	7.2971             	5.8595             	0.5960             	60.0000            	0.0000             	0.0000             	0.0000             
25                 	2021-01-27 20:17:16	215.8000           	37.9300            	4.8350             	8.1853             	6.6088             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-01-27 20:17:17	215.6000           	38.6800            	4.9120             	8.3394             	6.7454             	0.5880             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-01-27 20:17:19	215.8000           	39.1600            	4.9790             	8.4507             	6.8293             	0.5890             	60.0000            	0.0000             	0.0000             	0.0000             
28                 	2021-01-27 20:17:20	215.6000           	38.1600            	4.8460             	8.2273             	6.6547             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
29                 	2021-01-27 20:17:21	215.5000           	33.6500            	4.3280             	7.2516             	5.8229             	0.5960             	60.0100            	0.0000             	0.0000             	0.0000             
30                 	2021-01-27 20:17:22	215.6000           	33.6600            	4.3280             	7.2571             	5.8273             	0.5960             	60.0100            	0.0000             	0.0000             	0.0000             
31                 	2021-01-27 20:17:23	215.7000           	39.7800            	5.0580             	8.5805             	6.9342             	0.5890             	60.0100            	0.0000             	0.0000             	0.0000             
32                 	2021-01-27 20:17:24	215.5000           	38.2100            	4.8750             	8.2343             	6.6423             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
33                 	2021-01-27 20:17:25	215.4000           	32.6400            	4.1990             	7.0307             	5.6403             	0.5970             	60.0100            	0.0000             	0.0000             	0.0000             
34                 	2021-01-27 20:17:26	215.3000           	32.6600            	4.2070             	7.0317             	5.6359             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
35                 	2021-01-27 20:17:27	215.4000           	32.5700            	4.1920             	7.0156             	5.6282             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
36                 	2021-01-27 20:17:28	215.5000           	32.5600            	4.1940             	7.0167             	5.6291             	0.5970             	60.0000            	0.0000             	0.0000             	0.0000             
37                 	2021-01-27 20:17:29	215.7000           	32.4400            	4.1690             	6.9973             	5.6239             	0.5950             	59.9800            	0.0000             	0.0000             	0.0000             
38                 	2021-01-27 20:17:30	215.6000           	32.3300            	4.1570             	6.9703             	5.5971             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
39                 	2021-01-27 20:17:32	215.6000           	32.4300            	4.1880             	6.9919             	5.6040             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-01-27 20:17:33	215.5000           	33.7100            	4.3330             	7.2645             	5.8333             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
41                 	2021-01-27 20:17:34	215.5000           	33.6100            	4.3250             	7.2430             	5.8106             	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
42                 	2021-01-27 20:17:35	215.6000           	39.6500            	5.0550             	8.5485             	6.8959             	0.5910             	59.9800            	0.0000             	0.0000             	0.0000             
43                 	2021-01-27 20:17:36	215.7000           	39.6700            	5.0590             	8.5568             	6.9025             	0.5910             	59.9800            	0.0000             	0.0000             	0.0000             
44                 	2021-01-27 20:17:37	215.5000           	34.2600            	4.4000             	7.3830             	5.9339             	0.5950             	59.9800            	0.0000             	0.0000             	0.0000             
45                 	2021-01-27 20:17:38	215.6000           	32.5900            	4.2030             	7.0264             	5.6316             	0.5980             	59.9800            	0.0000             	0.0000             	0.0000             
46                 	2021-01-27 20:17:39	215.5000           	33.0900            	4.2510             	7.1309             	5.7260             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
47                 	2021-01-27 20:17:40	215.4000           	32.8400            	4.2170             	7.0737             	5.6853             	0.5950             	59.9800            	0.0000             	0.0000             	0.0000             
48                 	2021-01-27 20:17:41	215.5000           	32.4000            	4.1520             	6.9822             	5.6169             	0.5940             	59.9800            	0.0000             	0.0000             	0.0000             
49                 	2021-01-27 20:17:42	215.4000           	32.3800            	4.1630             	6.9747             	5.6005             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
50                 	2021-01-27 20:17:44	215.5000           	32.3600            	4.1610             	6.9736             	5.5997             	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
51                 	2021-01-27 20:17:45	215.4000           	32.3800            	4.1650             	6.9747             	5.6005             	0.5960             	59.9900            	0.0000             	0.0000             	0.0000             
52                 	2021-01-27 20:17:46	215.5000           	33.5200            	4.2870             	7.2236             	5.8164             	0.5930             	60.0000            	0.0000             	0.0000             	0.0000             
