No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ $ ]          
1                  	2021-02-08 20:25:01	213.3000           	14.6400            	1.7400             	3.1227             	2.5935             	0.5570             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-02-08 20:25:02	213.3000           	14.7400            	1.7490             	3.1440             	2.6154             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2021-02-08 20:25:03	213.0000           	14.7900            	1.7480             	3.1503             	2.6227             	0.5540             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-02-08 20:25:04	213.3000           	14.8400            	1.7520             	3.1654             	2.6373             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-02-08 20:25:05	213.2000           	14.8000            	1.7460             	3.1554             	2.6290             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2021-02-08 20:25:06	213.3000           	14.8400            	1.7510             	3.1654             	2.6394             	0.5520             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2021-02-08 20:25:08	213.3000           	14.7600            	1.7390             	3.1483             	2.6252             	0.5520             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-02-08 20:25:09	213.3000           	14.7700            	1.7450             	3.1504             	2.6249             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-02-08 20:25:10	213.1000           	14.7400            	1.7440             	3.1411             	2.6150             	0.5540             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-02-08 20:25:11	213.1000           	14.7600            	1.7460             	3.1454             	2.6165             	0.5550             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2021-02-08 20:25:12	213.0000           	14.8000            	1.7520             	3.1524             	2.6223             	0.5550             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2021-02-08 20:25:13	213.3000           	14.8000            	1.7500             	3.1568             	2.6281             	0.5540             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2021-02-08 20:25:14	213.3000           	14.7400            	1.7450             	3.1440             	2.6154             	0.5550             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2021-02-08 20:25:15	213.3000           	14.6800            	1.7410             	3.1312             	2.6026             	0.5560             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2021-02-08 20:25:17	213.2000           	16.0700            	1.9240             	3.4261             	2.8362             	0.5610             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2021-02-08 20:25:18	213.1000           	14.7000            	1.7430             	3.1326             	2.6037             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
17                 	2021-02-08 20:25:19	212.9000           	14.7300            	1.7420             	3.1360             	2.6087             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
18                 	2021-02-08 20:25:20	212.8000           	14.7600            	1.7440             	3.1409             	2.6128             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
19                 	2021-02-08 20:25:21	212.8000           	14.7400            	1.7430             	3.1367             	2.6092             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-02-08 20:25:22	212.7000           	14.7900            	1.7500             	3.1458             	2.6148             	0.5560             	60.0300            	0.0000             	0.0000             	0.0000             
21                 	2021-02-08 20:25:24	212.8000           	14.7600            	1.7500             	3.1409             	2.6086             	0.5570             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-02-08 20:25:25	212.8000           	14.7100            	1.7390             	3.1303             	2.6039             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
23                 	2021-02-08 20:25:26	212.7000           	14.7400            	1.7420             	3.1352             	2.6080             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
24                 	2021-02-08 20:25:27	212.6000           	14.7000            	1.7380             	3.1252             	2.5976             	0.5560             	60.0100            	0.0000             	0.0000             	0.0000             
25                 	2021-02-08 20:25:28	212.4000           	14.7900            	1.7470             	3.1414             	2.6111             	0.5560             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-02-08 20:25:29	212.4000           	14.7900            	1.7420             	3.1414             	2.6153             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-02-08 20:25:31	212.5000           	14.8900            	1.7470             	3.1641             	2.6405             	0.5510             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-02-08 20:25:32	212.3000           	14.9300            	1.7430             	3.1696             	2.6493             	0.5490             	60.0000            	0.0000             	0.0000             	0.0000             
29                 	2021-02-08 20:25:33	212.4000           	14.8900            	1.7440             	3.1626             	2.6392             	0.5510             	60.0000            	0.0000             	0.0000             	0.0000             
30                 	2021-02-08 20:25:34	212.7000           	14.8100            	1.7400             	3.1501             	2.6288             	0.5510             	60.0000            	0.0000             	0.0000             	0.0000             
31                 	2021-02-08 20:25:35	212.8000           	14.8100            	1.7440             	3.1516             	2.6279             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
32                 	2021-02-08 20:25:36	212.9000           	14.7700            	1.7390             	3.1445             	2.6221             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
33                 	2021-02-08 20:25:37	212.9000           	14.8000            	1.7400             	3.1509             	2.6295             	0.5510             	60.0100            	0.0000             	0.0000             	0.0000             
34                 	2021-02-08 20:25:38	212.9000           	14.8500            	1.7480             	3.1616             	2.6363             	0.5520             	60.0100            	0.0000             	0.0000             	0.0000             
35                 	2021-02-08 20:25:39	213.0000           	14.7800            	1.7410             	3.1481             	2.6230             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
36                 	2021-02-08 20:25:41	213.2000           	14.8000            	1.7420             	3.1554             	2.6332             	0.5510             	60.0200            	0.0000             	0.0000             	0.0000             
37                 	2021-02-08 20:25:42	213.4000           	14.7100            	1.7390             	3.1391             	2.6155             	0.5530             	60.0200            	0.0000             	0.0000             	0.0000             
38                 	2021-02-08 20:25:43	213.4000           	14.7200            	1.7430             	3.1412             	2.6151             	0.5540             	60.0300            	0.0000             	0.0000             	0.0000             
39                 	2021-02-08 20:25:44	213.4000           	14.6700            	1.7420             	3.1306             	2.6021             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
40                 	2021-02-08 20:25:45	213.5000           	14.6600            	1.7420             	3.1299             	2.6015             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
41                 	2021-02-08 20:25:46	213.5000           	14.7200            	1.7470             	3.1427             	2.6143             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
42                 	2021-02-08 20:25:47	213.3000           	14.7000            	1.7420             	3.1355             	2.6083             	0.5550             	60.0300            	0.0000             	0.0000             	0.0000             
43                 	2021-02-08 20:25:48	213.3000           	14.6500            	1.7400             	3.1248             	2.5973             	0.5560             	60.0300            	0.0000             	0.0000             	0.0000             
44                 	2021-02-08 20:25:50	213.3000           	14.6600            	1.7410             	3.1270             	2.5991             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
45                 	2021-02-08 20:25:51	213.3000           	14.7500            	1.7470             	3.1462             	2.6171             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
46                 	2021-02-08 20:25:52	213.2000           	14.6900            	1.7420             	3.1319             	2.6053             	0.5550             	60.0300            	0.0000             	0.0000             	0.0000             
47                 	2021-02-08 20:25:53	213.2000           	14.6700            	1.7430             	3.1276             	2.5996             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
48                 	2021-02-08 20:25:54	213.3000           	14.6700            	1.7420             	3.1291             	2.6009             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
49                 	2021-02-08 20:25:55	213.3000           	14.7100            	1.7450             	3.1376             	2.6100             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
50                 	2021-02-08 20:25:56	213.2000           	14.6900            	1.7410             	3.1319             	2.6053             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
51                 	2021-02-08 20:25:57	213.2000           	14.6600            	1.7360             	3.1255             	2.6000             	0.5550             	60.0200            	0.0000             	0.0000             	0.0000             
52                 	2021-02-08 20:25:58	213.3000           	14.6700            	1.7420             	3.1291             	2.6009             	0.5560             	60.0100            	0.0000             	0.0000             	0.0000             
53                 	2021-02-08 20:26:00	213.3000           	14.6800            	1.7440             	3.1312             	2.6026             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
54                 	2021-02-08 20:26:01	213.3000           	14.6300            	1.7380             	3.1206             	2.5938             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
55                 	2021-02-08 20:26:02	213.3000           	14.6900            	1.7450             	3.1334             	2.6044             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
56                 	2021-02-08 20:26:03	213.3000           	14.6300            	1.7360             	3.1206             	2.5938             	0.5560             	60.0200            	0.0000             	0.0000             	0.0000             
57                 	2021-02-08 20:26:04	213.3000           	14.6900            	1.7450             	3.1334             	2.6023             	0.5570             	60.0200            	0.0000             	0.0000             	0.0000             
58                 	2021-02-08 20:26:05	213.3000           	14.6600            	1.7440             	3.1270             	2.5991             	0.5560             	60.0300            	0.0000             	0.0000             	0.0000             
59                 	2021-02-08 20:26:06	213.1000           	14.6700            	1.7350             	3.1262             	2.6005             	0.5550             	60.0300            	0.0000             	0.0000             	0.0000             
60                 	2021-02-08 20:26:07	213.0000           	14.7000            	1.7370             	3.1311             	2.6067             	0.5540             	60.0300            	0.0000             	0.0000             	0.0000             
61                 	2021-02-08 20:26:09	213.0000           	14.7500            	1.7420             	3.1418             	2.6156             	0.5540             	60.0300            	0.0000             	0.0000             	0.0000             
62                 	2021-02-08 20:26:10	213.0000           	14.7000            	1.7360             	3.1311             	2.6067             	0.5540             	60.0300            	0.0000             	0.0000             	0.0000             
63                 	2021-02-08 20:26:11	213.0000           	14.7600            	1.7470             	3.1439             	2.6152             	0.5550             	60.0300            	0.0000             	0.0000             	0.0000             
64                 	2021-02-08 20:26:12	213.0000           	14.7500            	1.7490             	3.1418             	2.6114             	0.5560             	60.0300            	0.0000             	0.0000             	0.0000             
65                 	2021-02-08 20:26:13	212.9000           	14.7700            	1.7440             	3.1445             	2.6179             	0.5540             	60.0200            	0.0000             	0.0000             	0.0000             
