No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2020-11-05 14:41:30	212.4000           	28.2000            	3.5570             	5.9897             	4.8229             	0.5930             	59.9700            	0.0000             	0.0000             	0.0000             
2                  	2020-11-05 14:41:31	212.1000           	28.3500            	3.5490             	6.0130             	4.8549             	0.5900             	59.9700            	0.0000             	0.0000             	0.0000             
3                  	2020-11-05 14:41:33	212.1000           	28.4000            	3.5550             	6.0236             	4.8635             	0.5900             	59.9700            	0.0000             	0.0000             	0.0000             
4                  	2020-11-05 14:41:34	212.1000           	28.1000            	3.5470             	5.9600             	4.7946             	0.5940             	59.9700            	0.0000             	0.0000             	0.0000             
5                  	2020-11-05 14:41:35	212.3000           	28.1000            	3.5560             	5.9656             	4.7947             	0.5950             	59.9700            	0.0000             	0.0000             	0.0000             
6                  	2020-11-05 14:41:36	212.4000           	27.9000            	3.5560             	5.9260             	4.7408             	0.6000             	59.9700            	0.0000             	0.0000             	0.0000             
7                  	2020-11-05 14:41:37	212.4000           	27.8700            	3.5790             	5.9196             	4.7178             	0.6040             	59.9700            	0.0000             	0.0000             	0.0000             
8                  	2020-11-05 14:41:38	212.4000           	28.1200            	3.5600             	5.9727             	4.8004             	0.5950             	59.9700            	0.0000             	0.0000             	0.0000             
9                  	2020-11-05 14:41:39	212.6000           	27.8300            	3.5590             	5.9167             	4.7289             	0.6010             	59.9800            	0.0000             	0.0000             	0.0000             
10                 	2020-11-05 14:41:40	212.6000           	27.6200            	3.5570             	5.8720             	4.6754             	0.6050             	59.9800            	0.0000             	0.0000             	0.0000             
11                 	2020-11-05 14:41:41	212.6000           	27.9000            	3.5570             	5.9315             	4.7497             	0.5990             	59.9800            	0.0000             	0.0000             	0.0000             
12                 	2020-11-05 14:41:43	212.8000           	27.9200            	3.5600             	5.9414             	4.7620             	0.5980             	59.9700            	0.0000             	0.0000             	0.0000             
13                 	2020-11-05 14:41:44	212.7000           	27.8600            	3.5650             	5.9258             	4.7362             	0.6010             	59.9700            	0.0000             	0.0000             	0.0000             
14                 	2020-11-05 14:41:45	212.8000           	28.0100            	3.5690             	5.9605             	4.7773             	0.5980             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2020-11-05 14:41:46	212.8000           	28.0000            	3.5780             	5.9584             	4.7667             	0.6000             	59.9700            	0.0000             	0.0000             	0.0000             
