No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2020-11-05 12:39:18	215.1000           	25.9700            	3.4030             	5.5861             	4.4350             	0.6080             	60.0400            	0.0000             	0.0000             	0.0000             
2                  	2020-11-05 12:39:19	215.1000           	26.3200            	3.4200             	5.6614             	4.5164             	0.6030             	60.0300            	0.0000             	0.0000             	0.0000             
3                  	2020-11-05 12:39:20	215.2000           	26.1400            	3.4090             	5.6253             	4.4790             	0.6050             	60.0300            	0.0000             	0.0000             	0.0000             
4                  	2020-11-05 12:39:22	215.3000           	25.9800            	3.4040             	5.5935             	4.4409             	0.6080             	60.0300            	0.0000             	0.0000             	0.0000             
5                  	2020-11-05 12:39:23	215.4000           	26.2900            	3.4190             	5.6629             	4.5175             	0.6030             	60.0300            	0.0000             	0.0000             	0.0000             
6                  	2020-11-05 12:39:24	215.3000           	26.2500            	3.4100             	5.6516             	4.5085             	0.6030             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2020-11-05 12:39:25	215.2000           	26.7700            	3.4530             	5.7609             	4.6130             	0.5990             	60.0300            	0.0000             	0.0000             	0.0000             
8                  	2020-11-05 12:39:26	215.1000           	26.6500            	3.4320             	5.7324             	4.5945             	0.5980             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2020-11-05 12:39:27	215.0000           	26.3600            	3.4100             	5.6674             	4.5297             	0.6010             	60.0200            	0.0000             	0.0000             	0.0000             
10                 	2020-11-05 12:39:28	215.0000           	26.3800            	3.4150             	5.6717             	4.5331             	0.6010             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2020-11-05 12:39:29	215.1000           	26.4100            	3.4090             	5.6808             	4.5489             	0.5990             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2020-11-05 12:39:30	215.2000           	26.3800            	3.4130             	5.6770             	4.5416             	0.6000             	60.0200            	0.0000             	0.0000             	0.0000             
