No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2020-11-05 12:49:31	214.9000           	29.6400            	3.7640             	6.3696             	5.1429             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2020-11-05 12:49:32	214.8000           	29.8400            	3.7920             	6.4096             	5.1705             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
3                  	2020-11-05 12:49:34	214.9000           	29.8800            	3.7990             	6.4212             	5.1798             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2020-11-05 12:49:35	214.9000           	30.0000            	3.8050             	6.4470             	5.2053             	0.5900             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2020-11-05 12:49:36	215.0000           	29.7700            	3.7760             	6.4005             	5.1537             	0.5930             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2020-11-05 12:49:37	215.1000           	29.5900            	3.7650             	6.3648             	5.1343             	0.5910             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2020-11-05 12:49:38	214.9000           	29.9000            	3.7930             	6.4255             	5.1880             	0.5900             	60.0300            	0.0000             	0.0000             	0.0000             
8                  	2020-11-05 12:49:39	214.9000           	29.9800            	3.8010             	6.4427             	5.1971             	0.5910             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2020-11-05 12:49:40	214.8000           	29.2300            	3.7660             	6.2786             	5.0276             	0.5990             	60.0400            	0.0000             	0.0000             	0.0000             
10                 	2020-11-05 12:49:42	214.7000           	30.2900            	3.8700             	6.5033             	5.2316             	0.5940             	60.0400            	0.0000             	0.0000             	0.0000             
11                 	2020-11-05 12:49:43	214.8000           	29.1900            	3.7680             	6.2700             	5.0160             	0.6000             	60.0400            	0.0000             	0.0000             	0.0000             
12                 	2020-11-05 12:49:44	214.7000           	29.7600            	3.8210             	6.3895             	5.1259             	0.5970             	60.0500            	0.0000             	0.0000             	0.0000             
13                 	2020-11-05 12:49:45	214.7000           	30.4600            	3.8740             	6.5398             	5.2706             	0.5920             	60.0500            	0.0000             	0.0000             	0.0000             
14                 	2020-11-05 12:49:46	214.6000           	29.3000            	3.7730             	6.2878             	5.0349             	0.5990             	60.0500            	0.0000             	0.0000             	0.0000             
15                 	2020-11-05 12:49:47	214.7000           	29.0500            	3.7600             	6.2370             	4.9802             	0.6020             	60.0400            	0.0000             	0.0000             	0.0000             
16                 	2020-11-05 12:49:48	214.6000           	29.0500            	3.7650             	6.2341             	4.9732             	0.6030             	60.0400            	0.0000             	0.0000             	0.0000             
17                 	2020-11-05 12:49:49	214.6000           	29.1500            	3.7590             	6.2556             	5.0045             	0.6000             	60.0500            	0.0000             	0.0000             	0.0000             
18                 	2020-11-05 12:49:51	214.6000           	29.4300            	3.7960             	6.3157             	5.0525             	0.6000             	60.0400            	0.0000             	0.0000             	0.0000             
19                 	2020-11-05 12:49:52	214.6000           	30.4000            	3.8790             	6.5238             	5.2482             	0.5940             	60.0400            	0.0000             	0.0000             	0.0000             
20                 	2020-11-05 12:49:53	214.6000           	29.2900            	3.7700             	6.2856             	5.0332             	0.5990             	60.0400            	0.0000             	0.0000             	0.0000             
21                 	2020-11-05 12:49:54	214.7000           	29.1800            	3.7670             	6.2649             	5.0073             	0.6010             	60.0400            	0.0000             	0.0000             	0.0000             
22                 	2020-11-05 12:49:55	214.8000           	29.1500            	3.7650             	6.2614             	5.0044             	0.6010             	60.0500            	0.0000             	0.0000             	0.0000             
23                 	2020-11-05 12:49:56	214.9000           	29.3000            	3.7920             	6.2966             	5.0278             	0.6020             	60.0400            	0.0000             	0.0000             	0.0000             
24                 	2020-11-05 12:49:58	214.9000           	29.1900            	3.7780             	6.2729             	5.0089             	0.6020             	60.0400            	0.0000             	0.0000             	0.0000             
25                 	2020-11-05 12:49:59	215.0000           	29.1100            	3.7670             	6.2587             	5.0022             	0.6010             	60.0400            	0.0000             	0.0000             	0.0000             
26                 	2020-11-05 12:50:00	214.9000           	29.1200            	3.7620             	6.2579             	5.0016             	0.6010             	60.0300            	0.0000             	0.0000             	0.0000             
27                 	2020-11-05 12:50:01	214.9000           	29.1600            	3.7730             	6.2665             	5.0085             	0.6010             	60.0300            	0.0000             	0.0000             	0.0000             
28                 	2020-11-05 12:50:02	214.9000           	29.1000            	3.7640             	6.2536             	4.9982             	0.6010             	60.0300            	0.0000             	0.0000             	0.0000             
