No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2020-11-05 14:21:47	212.8000           	28.1400            	3.5440             	5.9882             	4.8305             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2020-11-05 14:21:48	212.8000           	28.1800            	3.5430             	5.9967             	4.8418             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2020-11-05 14:21:49	212.9000           	28.3700            	3.5530             	6.0400             	4.8855             	0.5880             	60.0100            	0.0000             	0.0000             	0.0000             
4                  	2020-11-05 14:21:50	212.9000           	28.4700            	3.5550             	6.0613             	4.9115             	0.5860             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2020-11-05 14:21:51	212.8000           	28.1700            	3.5640             	5.9946             	4.8224             	0.5940             	60.0100            	0.0000             	0.0000             	0.0000             
6                  	2020-11-05 14:21:52	212.7000           	28.2500            	3.5520             	6.0088             	4.8471             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
7                  	2020-11-05 14:21:53	212.7000           	28.1600            	3.5450             	5.9896             	4.8317             	0.5910             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2020-11-05 14:21:55	212.6000           	28.2500            	3.5450             	6.0060             	4.8492             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2020-11-05 14:21:56	212.7000           	28.2100            	3.5480             	6.0003             	4.8402             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
10                 	2020-11-05 14:21:57	212.7000           	28.2000            	3.5480             	5.9981             	4.8385             	0.5910             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2020-11-05 14:21:58	212.6000           	27.8300            	3.5430             	5.9167             	4.7422             	0.5980             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2020-11-05 14:21:59	212.5000           	27.7900            	3.5440             	5.9054             	4.7287             	0.5990             	60.0000            	0.0000             	0.0000             	0.0000             
13                 	2020-11-05 14:22:00	212.6000           	27.6600            	3.5440             	5.8805             	4.6956             	0.6020             	60.0000            	0.0000             	0.0000             	0.0000             
14                 	2020-11-05 14:22:01	212.7000           	28.5200            	3.6000             	6.0662             	4.8845             	0.5930             	60.0000            	0.0000             	0.0000             	0.0000             
15                 	2020-11-05 14:22:02	212.7000           	28.2500            	3.5390             	6.0088             	4.8603             	0.5880             	60.0000            	0.0000             	0.0000             	0.0000             
16                 	2020-11-05 14:22:03	212.8000           	28.1500            	3.5460             	5.9903             	4.8322             	0.5910             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2020-11-05 14:22:05	212.8000           	28.5400            	3.5420             	6.0733             	4.9387             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
18                 	2020-11-05 14:22:06	212.9000           	28.5500            	3.5610             	6.0783             	4.9297             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
