No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2020-11-05 14:29:24	214.0000           	28.7000            	3.6250             	6.1418             	4.9634             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2020-11-05 14:29:25	214.1000           	28.8100            	3.6290             	6.1682             	4.9892             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2020-11-05 14:29:26	213.9000           	28.7700            	3.6190             	6.1539             	4.9821             	0.5870             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2020-11-05 14:29:27	213.9000           	28.7000            	3.6220             	6.1389             	4.9611             	0.5890             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2020-11-05 14:29:28	213.9000           	36.5800            	4.4150             	7.8245             	6.4612             	0.5640             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2020-11-05 14:29:29	213.9000           	28.7900            	3.6240             	6.1582             	4.9811             	0.5880             	60.0200            	0.0000             	0.0000             	0.0000             
7                  	2020-11-05 14:29:30	213.8000           	28.9700            	3.6340             	6.1938             	5.0189             	0.5860             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2020-11-05 14:29:31	213.7000           	28.7000            	3.6220             	6.1332             	4.9520             	0.5900             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2020-11-05 14:29:33	213.9000           	29.0000            	3.6220             	6.2031             	5.0398             	0.5830             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2020-11-05 14:29:34	213.7000           	40.5300            	4.7310             	8.6613             	7.2563             	0.5460             	60.0000            	0.0000             	0.0000             	0.0000             
11                 	2020-11-05 14:29:35	213.9000           	40.3500            	4.7670             	8.6309             	7.1968             	0.5520             	60.0000            	0.0000             	0.0000             	0.0000             
12                 	2020-11-05 14:29:36	213.9000           	39.1200            	4.7130             	8.3678             	6.9156             	0.5630             	60.0100            	0.0000             	0.0000             	0.0000             
13                 	2020-11-05 14:29:37	214.1000           	38.8100            	4.7130             	8.3092             	6.8502             	0.5660             	60.0100            	0.0000             	0.0000             	0.0000             
14                 	2020-11-05 14:29:38	214.0000           	39.4900            	4.7300             	8.4509             	7.0072             	0.5590             	60.0100            	0.0000             	0.0000             	0.0000             
15                 	2020-11-05 14:29:39	214.2000           	39.1000            	4.7130             	8.3752             	6.9275             	0.5620             	60.0100            	0.0000             	0.0000             	0.0000             
16                 	2020-11-05 14:29:40	214.2000           	38.9400            	4.7040             	8.3409             	6.8934             	0.5630             	60.0100            	0.0000             	0.0000             	0.0000             
17                 	2020-11-05 14:29:42	214.3000           	39.4700            	4.7160             	8.4584             	7.0248             	0.5570             	60.0100            	0.0000             	0.0000             	0.0000             
18                 	2020-11-05 14:29:43	214.3000           	40.4700            	4.7500             	8.6727             	7.2602             	0.5470             	60.0100            	0.0000             	0.0000             	0.0000             
19                 	2020-11-05 14:29:44	214.2000           	40.2600            	4.7520             	8.6237             	7.2022             	0.5500             	60.0100            	0.0000             	0.0000             	0.0000             
20                 	2020-11-05 14:29:45	214.2000           	39.9300            	4.7470             	8.5530             	7.1205             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2020-11-05 14:29:46	214.2000           	40.0600            	4.7610             	8.5809             	7.1437             	0.5540             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2020-11-05 14:29:47	214.0000           	40.7200            	4.8260             	8.7141             	7.2604             	0.5530             	60.0100            	0.0000             	0.0000             	0.0000             
23                 	2020-11-05 14:29:48	214.1000           	39.9900            	4.7840             	8.5619             	7.1050             	0.5580             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2020-11-05 14:29:49	214.1000           	39.6900            	4.7660             	8.4976             	7.0402             	0.5600             	60.0000            	0.0000             	0.0000             	0.0000             
